CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
Cer(d14:1_20:0),XIC,C34 H67 O3 N1,ESI,582.5102975299999,HCO2-Gain,-,1,11.28395949820256,,
Cer(d14:1_20:0),XIC,C34 H67 O3 N1,ESI,538.51937047,H-Gain,+,1,11.28395949820256,,
Cer(d14:1_20:0),XIC,C34 H67 O3 N1,ESI,520.50880547,H-H2O-Gain,+,1,11.28395949820256,,
Cer(d34:2),XIC,C34 H65 O3 N1,ESI,518.49315547,H-H2O-Gain,+,1,10.276971296884847,,
Cer(d16:0_20:1),XIC,C36 H71 O3 N1,ESI,610.5415975299999,HCO2-Gain,-,1,13.585939654337299,,
Cer(d14:1_22:0),XIC,C36 H71 O3 N1,ESI,610.5415975299999,HCO2-Gain,-,1,13.963682658188763,,
Cer(d14:1_22:0),XIC,C36 H71 O3 N1,ESI,566.55067047,H-Gain,+,1,13.963682658188763,,
Cer(d14:1_22:0),XIC,C36 H71 O3 N1,ESI,548.54010547,H-H2O-Gain,+,1,13.963682658188763,,
Cer(d36:1+O),XIC,C36 H71 O4 N1,ESI,626.5365125299999,HCO2-Gain,-,1,12.84,,
Cer(d14:1_23:0),XIC,C37 H73 O3 N1,ESI,624.5572475299999,HCO2-Gain,-,1,15.158434440883738,,
Cer(d16:1_22:0),XIC,C38 H75 O3 N1,ESI,638.57289753,HCO2-Gain,-,1,15.881797764401886,,
Cer(d15:0_23:1),XIC,C38 H75 O3 N1,ESI,638.57289753,HCO2-Gain,-,1,16.144710271908554,,
Cer(d24:2_18:0+O),XIC,C42 H81 O4 N1,ESI,681.65038447,NH4-Gain,+,1,4.84336703372152,,
Cer(d24:1_18:1+O),XIC,C42 H81 O4 N1,ESI,681.65038447,NH4-Gain,+,1,26.33598287213182,,
Cer(d42:2+O),XIC,C42 H81 O4 N1,ESI,681.65038447,NH4-Gain,+,1,26.88174069686882,,
Cer(d24:2_18:0+O),XIC,C42 H81 O4 N1,ESI,681.65038447,NH4-Gain,+,1,27.278446492264454,,
Cer(d44:0),XIC,C44 H89 O3 N1,ESI,724.6824475299999,HCO2-Gain,-,1,19.844,,
Cer(d23:2_21:4),XIC,C44 H77 O3 N1,ESI,685.62416947,NH4-Gain,+,1,8.552313137169284,,
Cer(d44:6),XIC,C44 H77 O3 N1,ESI,685.62416947,NH4-Gain,+,1,27.168,,
Cer(d44:6),XIC,C44 H77 O3 N1,ESI,685.62416947,NH4-Gain,+,1,27.359029857384595,,
Cer(d44:6),XIC,C44 H77 O3 N1,ESI,685.62416947,NH4-Gain,+,1,27.501,,
Cer(m34:1+O),XIC,C34 H67 O3 N1,ESI,582.5102975299999,HCO2-Gain,-,1,11.273840757912756,,
Cer(m36:1+O),XIC,C36 H71 O3 N1,ESI,610.5415975299999,HCO2-Gain,-,1,13.963003158043842,,
Cer(t16:1_21:0+O),XIC,C37 H73 O5 N1,ESI,610.5415975299999,H-Loss,-,1,13.59,,
Cer(t44:0+O),XIC,C44 H89 O5 N1,ESI,756.6722775299999,HCO2-Gain,-,1,18.641,,
Cer(t18:1_26:5),XIC,C44 H77 O4 N1,ESI,701.61908447,NH4-Gain,+,1,4.783,,
CerP(d30:3),XIC,C30 H56 O6 N1 P1,ESI,522.37067347,H-2H2O-Gain,+,1,2.204,,
CerP(d20:0_19:0),XIC,C39 H80 O6 N1 P1,ESI,707.6061524700001,NH4-Gain,+,1,8.532,,
CerP(d14:2_25:0),XIC,C39 H76 O6 N1 P1,ESI,703.5748524700001,NH4-Gain,+,1,12.355,,
CerP(d21:2_18:0+O),XIC,C39 H76 O7 N1 P1,ESI,702.5432184700002,H-Gain,+,1,11.438542550227046,,
CerP(d21:2_18:0+O),XIC,C39 H76 O7 N1 P1,ESI,702.5432184700002,H-Gain,+,1,12.917010742771918,,
CerP(d21:2_18:0+O),XIC,C39 H76 O7 N1 P1,ESI,702.5432184700002,H-Gain,+,1,13.057,,
CerP(d22:2_18:0+2O),XIC,C40 H78 O8 N1 P1,ESI,732.5537834700001,H-Gain,+,1,10.174572162369481,,
CerP(d40:3+2O),XIC,C40 H76 O8 N1 P1,ESI,730.53813347,H-Gain,+,1,7.6263242028100855,,
CerP(m22:0_19:0),XIC,C41 H84 O5 N1 P1,ESI,702.6159884700002,H-Gain,+,1,4.792186994803446,,
CerP(t17:0_18:2+O),XIC,C35 H68 O8 N1 P1,ESI,662.4755334700001,H-Gain,+,1,6.015,,
CerP(t17:1_18:2+2O),XIC,C35 H66 O9 N1 P1,ESI,676.4547984700001,H-Gain,+,1,3.9646139243935403,,
DG(4:0_14:1),XIC,C21 H38 O5,ESI,388.30575047,NH4-Gain,+,1,1.5587014975116686,,
DG(18:2),XIC,C21 H36 O5,ESI,386.2901004700001,NH4-Gain,+,1,1.413,,
DG(8:0e_10:3),XIC,C21 H36 O4,ESI,370.29518547,NH4-Gain,+,1,1.642,,
DG(4:0_14:4),XIC,C21 H32 O5,ESI,382.25880047,NH4-Gain,+,1,1.172,,
DG(8:0e_10:4),XIC,C21 H34 O4,ESI,368.27953547000004,NH4-Gain,+,1,1.4348423958082335,,
DG(8:0_12:2),XIC,C23 H40 O5,ESI,414.32140047000007,NH4-Gain,+,1,1.7118970793169523,,
