CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
DG(20:2e),XIC,C23 H42 O4,ESI,383.31558647,H-Gain,+,1,17.529,,
DG(10:0e_10:4),XIC,C23 H38 O4,ESI,396.31083547000003,NH4-Gain,+,1,1.7430327757114776,,
DG(20:5e),XIC,C23 H36 O4,ESI,394.29518547,NH4-Gain,+,1,1.501,,
DG(22:3e),XIC,C25 H44 O4,ESI,409.33123646999996,H-Gain,+,1,17.50516298627741,,
DG(12:0e_10:4),XIC,C25 H42 O4,ESI,424.34213547,NH4-Gain,+,1,2.2996885585038656,,
DG(12:0e_10:4),XIC,C25 H42 O4,ESI,424.34213547,NH4-Gain,+,1,2.673199387232157,,
DG(22:4e),XIC,C25 H42 O4,ESI,424.34213547,NH4-Gain,+,1,2.811,,
DG(22:5e),XIC,C25 H40 O4,ESI,422.32648546999997,NH4-Gain,+,1,1.8857415532137292,,
DG(22:5e),XIC,C25 H40 O4,ESI,422.32648546999997,NH4-Gain,+,1,2.501,,
DG(30:3),XIC,C33 H58 O5,ESI,573.3915844700001,K-Gain,+,1,7.654,,
DG(16:0_16:1),XIC,C35 H66 O5,ESI,584.52485047,NH4-Gain,+,1,12.86652900460794,,
DG(16:1_16:1),XIC,C35 H64 O5,ESI,582.5092004700001,NH4-Gain,+,1,10.579,,
DG(32:3e),XIC,C35 H64 O4,ESI,549.4877364700002,H-Gain,+,1,7.905717204054321,,
DG(12:1e_20:3),XIC,C35 H62 O4,ESI,585.4279694700001,K-Gain,+,1,4.2976191356336475,,
DG(16:0_18:1),XIC,C37 H70 O5,ESI,612.55615047,NH4-Gain,+,1,15.191156913408019,,
DG(16:1_18:1),XIC,C37 H68 O5,ESI,610.54050047,NH4-Gain,+,1,12.931061194673303,,
DG(16:0_18:2),XIC,C37 H68 O5,ESI,610.54050047,NH4-Gain,+,1,13.348513573571731,,
DG(16:1_18:2),XIC,C37 H66 O5,ESI,608.5248504699999,NH4-Gain,+,1,11.009609125313334,,
DG(18:3_16:0),XIC,C37 H66 O5,ESI,608.5248504699999,NH4-Gain,+,1,11.66738533494817,,
DG(34:3e),XIC,C37 H68 O4,ESI,577.5190364700001,H-Gain,+,1,9.670832178069988,,
DG(34:3e),XIC,C37 H68 O4,ESI,577.5190364700001,H-Gain,+,1,11.67676889972416,,
DG(34:3e),XIC,C37 H68 O4,ESI,577.5190364700001,H-Gain,+,1,15.184046721496767,,
DG(34:3e),XIC,C37 H68 O4,ESI,577.5190364700001,H-Gain,+,1,17.49137225842937,,
DG(34:3e),XIC,C37 H68 O4,ESI,577.5190364700001,H-Gain,+,1,17.67617775321052,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,8.028,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,8.246978391846884,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,8.621367944298898,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,12.925,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,13.345169708715314,,
DG(34:4e),XIC,C37 H66 O4,ESI,575.50338647,H-Gain,+,1,16.592790288495596,,
DG(34:5e),XIC,C37 H64 O4,ESI,573.4877364700002,H-Gain,+,1,7.208874473998626,,
DG(34:5e),XIC,C37 H64 O4,ESI,573.4877364700002,H-Gain,+,1,7.5267500699510705,,
DG(18:0_18:1),XIC,C39 H74 O5,ESI,640.5874504700001,NH4-Gain,+,1,16.897,,
DG(18:1_18:1),XIC,C39 H72 O5,ESI,638.5718004700001,NH4-Gain,+,1,15.24768055324731,,
DG(18:0_18:2),XIC,C39 H72 O5,ESI,638.5718004700001,NH4-Gain,+,1,15.652812506105143,,
DG(18:1_18:2),XIC,C39 H70 O5,ESI,636.55615047,NH4-Gain,+,1,13.414786947682027,,
DG(18:0_18:3),XIC,C39 H70 O5,ESI,636.55615047,NH4-Gain,+,1,14.289758797040864,,
DG(18:2_18:2),XIC,C39 H68 O5,ESI,634.54050047,NH4-Gain,+,1,11.461658278467212,,
DG(18:1_18:3),XIC,C39 H68 O5,ESI,634.54050047,NH4-Gain,+,1,11.750157802945514,,
DG(18:3_18:2),XIC,C39 H66 O5,ESI,632.5248504699999,NH4-Gain,+,1,9.96601418275158,,
DG(36:5e),XIC,C39 H68 O4,ESI,601.5190364700001,H-Gain,+,1,8.380950967419237,,
DG(36:6e),XIC,C39 H66 O4,ESI,599.50338647,H-Gain,+,1,7.324258009273516,,
DG(36:6e),XIC,C39 H66 O4,ESI,599.50338647,H-Gain,+,1,7.62889367837304,,
DG(29:1_11:2),XIC,C43 H78 O5,ESI,713.54808447,K-Gain,+,1,15.4,,
DG(18:1_24:2),XIC,C45 H82 O5,ESI,703.6235014700002,H-Gain,+,1,4.785937104570015,,
DG(33:0_16:0),XIC,C52 H102 O5,ESI,845.73588447,K-Gain,+,1,20.244624083009093,,
FA(18:3),XIC,O2 H30 C18,ESI,277.21730353,H-Loss,-,1,1.9,,
LPC(14:0),XIC,C22 H46 O7 N1 P1,ESI,468.30846847000004,H-Gain,+,1,1.9694420484132549,,
LPC(14:1),XIC,C22 H44 O7 N1 P1,ESI,466.29281847000004,H-Gain,+,1,1.6435381741711916,,
LPC(14:1),XIC,C22 H44 O7 N1 P1,ESI,510.28374553000003,HCO2-Gain,-,1,1.6435381741711916,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,540.33069553,HCO2-Gain,-,1,2.8060620361830244,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,496.3397684700001,H-Gain,+,1,2.8060620361830244,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,540.33069553,HCO2-Gain,-,1,3.046025943793122,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,496.3397684700001,H-Gain,+,1,3.046025943793122,,
LPC(16:0),XIC,C24 H50 O7 N1 P1,ESI,496.3397684700001,H-Gain,+,1,3.848,,
LPC(16:1),XIC,C24 H48 O7 N1 P1,ESI,538.3150455299999,HCO2-Gain,-,1,2.1165930515815155,,
LPC(16:1),XIC,C24 H48 O7 N1 P1,ESI,494.32411847000003,H-Gain,+,1,2.1165930515815155,,
LPC(16:1),XIC,C24 H48 O7 N1 P1,ESI,494.32411847000003,H-Gain,+,1,2.758934664066872,,
LPC(16:1),XIC,C24 H48 O7 N1 P1,ESI,538.3150455299999,HCO2-Gain,-,1,2.758934664066872,,
LPC(16:2),XIC,C24 H46 O7 N1 P1,ESI,492.30846847000004,H-Gain,+,1,1.749805992470271,,
LPC(16:2),XIC,C24 H46 O7 N1 P1,ESI,536.29939553,HCO2-Gain,-,1,1.749805992470271,,
LPC(16:3),XIC,C24 H44 O7 N1 P1,ESI,490.29281847000004,H-Gain,+,1,1.508695997974757,,
LPC(17:0),XIC,C25 H52 O7 N1 P1,ESI,510.35541847,H-Gain,+,1,3.3552288378035273,,
LPC(17:0),XIC,C25 H52 O7 N1 P1,ESI,510.35541847,H-Gain,+,1,3.6165035782254167,,
LPC(17:1),XIC,C25 H50 O7 N1 P1,ESI,508.3397684700001,H-Gain,+,1,2.542560021487122,,
LPC(17:1),XIC,C25 H50 O7 N1 P1,ESI,508.3397684700001,H-Gain,+,1,2.7935808594251,,
LPC(18:0),XIC,C26 H54 O7 N1 P1,ESI,568.3619955299998,HCO2-Gain,-,1,4.081986971775384,,
LPC(18:0),XIC,C26 H54 O7 N1 P1,ESI,524.37106847,H-Gain,+,1,4.081986971775384,,
LPC(18:1),XIC,C26 H52 O7 N1 P1,ESI,566.3463455299999,HCO2-Gain,-,1,2.9952461685858895,,
LPC(18:1),XIC,C26 H52 O7 N1 P1,ESI,522.35541847,H-Gain,+,1,2.9952461685858895,,
LPC(18:1),XIC,C26 H52 O7 N1 P1,ESI,522.35541847,H-Gain,+,1,3.8864224911086462,,
LPC(18:2),XIC,C26 H50 O7 N1 P1,ESI,564.33069553,HCO2-Gain,-,1,2.328393884912476,,
LPC(18:2),XIC,C26 H50 O7 N1 P1,ESI,520.3397684700001,H-Gain,+,1,2.328393884912476,,
LPC(18:2),XIC,C26 H50 O7 N1 P1,ESI,520.3397684700001,H-Gain,+,1,3.113,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,562.3150455299999,HCO2-Gain,-,1,1.908359945910029,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,518.32411847,H-Gain,+,1,1.908359945910029,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,518.32411847,H-Gain,+,1,2.4399902227532833,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,562.3150455299999,HCO2-Gain,-,1,2.4399902227532833,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,518.32411847,H-Gain,+,1,2.5549138817785857,,
LPC(18:4),XIC,C26 H46 O7 N1 P1,ESI,516.30846847,H-Gain,+,1,1.612,,
LPC(22:5),XIC,C30 H52 O7 N1 P1,ESI,570.35541847,H-Gain,+,1,2.656,,
PA(21:1e),XIC,C24 H47 O7 N0 P1,ESI,496.3397684700001,NH4-Gain,+,1,2.805,,
PA(40:0e),XIC,C43 H87 O7 N0 P1,ESI,745.61166653,H-Loss,-,1,4.742607555449886,,
PA(40:0e),XIC,C43 H87 O7 N0 P1,ESI,745.61166653,H-Loss,-,1,26.951,,
PC(16:0),XIC,C24 H48 O8 N1 P1,ESI,510.3190334700001,H-Gain,+,1,1.404,,
PC(8:1e_10:0),XIC,C26 H52 O7 N1 P1,ESI,566.3463455299999,HCO2-Gain,-,1,3.192788787588138,,
PC(10:1e_8:0),XIC,C26 H52 O7 N1 P1,ESI,566.3463455299999,HCO2-Gain,-,1,3.567806561973283,,
PC(12:1e_6:0),XIC,C26 H52 O7 N1 P1,ESI,522.35541847,H-Gain,+,1,3.7823084186792855,,
PC(18:2),XIC,C26 H48 O8 N1 P1,ESI,534.3190334700001,H-Gain,+,1,1.364,,
PC(8:0e_10:3),XIC,C26 H48 O7 N1 P1,ESI,518.3241184700001,H-Gain,+,1,2.502,,
PC(21:1),XIC,C29 H56 O8 N1 P1,ESI,622.37256053,HCO2-Gain,-,1,3.7404344722901604,,
PC(21:2e),XIC,C29 H56 O7 N1 P1,ESI,606.37764553,HCO2-Gain,-,1,4.003,,
PC(28:0),XIC,C36 H72 O8 N1 P1,ESI,678.5068334700001,H-Gain,+,1,7.264955907591408,,
PC(29:2),XIC,C37 H70 O8 N1 P1,ESI,688.4911834700001,H-Gain,+,1,6.073182652917306,,
PC(16:0_14:0),XIC,C38 H76 O8 N1 P1,ESI,706.5381334700002,H-Gain,+,1,8.92061349675238,,
PC(30:1),XIC,C38 H74 O8 N1 P1,ESI,704.5224834700001,H-Gain,+,1,7.3536549515465115,,
PC(30:1),XIC,C38 H74 O8 N1 P1,ESI,704.5224834700001,H-Gain,+,1,7.817514036334703,,
PC(6:0_24:2),XIC,C38 H72 O8 N1 P1,ESI,702.5068334700001,H-Gain,+,1,6.318263819437491,,
PC(6:0_24:2),XIC,C38 H72 O8 N1 P1,ESI,702.5068334700001,H-Gain,+,1,6.8360721691292285,,
PC(8:0_22:3),XIC,C38 H70 O8 N1 P1,ESI,700.4911834700001,H-Gain,+,1,5.5464509203987,,
PC(8:0_22:3),XIC,C38 H70 O8 N1 P1,ESI,700.4911834700001,H-Gain,+,1,6.092089635200746,,
PC(8:0_22:3),XIC,C38 H70 O8 N1 P1,ESI,700.4911834700001,H-Gain,+,1,7.804,,
PC(31:3),XIC,C39 H72 O8 N1 P1,ESI,714.5068334700001,H-Gain,+,1,8.658081204082489,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,778.5603605299999,HCO2-Gain,-,1,10.98119849107996,,
PC(16:0_16:0),XIC,C40 H80 O8 N1 P1,ESI,734.56943347,H-Gain,+,1,10.98119849107996,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,776.54471053,HCO2-Gain,-,1,9.090319485912339,,
PC(16:0_16:1),XIC,C40 H78 O8 N1 P1,ESI,732.5537834700001,H-Gain,+,1,9.090319485912339,,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,774.52906053,HCO2-Gain,-,1,7.50736409336609,,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,730.5381334700002,H-Gain,+,1,7.50736409336609,,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,774.52906053,HCO2-Gain,-,1,7.628439790544377,,
PC(16:1_16:1),XIC,C40 H76 O8 N1 P1,ESI,730.5381334700002,H-Gain,+,1,7.628439790544377,,
PC(14:0_18:3),XIC,C40 H74 O8 N1 P1,ESI,728.5224834700001,H-Gain,+,1,6.707957780344287,,
PC(14:0_18:3),XIC,C40 H74 O8 N1 P1,ESI,772.51341053,HCO2-Gain,-,1,6.707957780344287,,
PC(14:0_18:3),XIC,C40 H74 O8 N1 P1,ESI,728.5224834700001,H-Gain,+,1,7.001148872027309,,
PC(21:1_11:3),XIC,C40 H72 O8 N1 P1,ESI,726.5068334700001,H-Gain,+,1,5.903610501670507,,
PC(33:0),XIC,C41 H82 O8 N1 P1,ESI,748.5850834700001,H-Gain,+,1,11.664169454274564,,
PC(25:1_8:0),XIC,C41 H80 O8 N1 P1,ESI,746.56943347,H-Gain,+,1,10.168597719483103,,
PC(25:1_8:0),XIC,C41 H80 O8 N1 P1,ESI,746.56943347,H-Gain,+,1,10.358069332423641,,
PC(33:2),XIC,C41 H78 O8 N1 P1,ESI,744.55378347,H-Gain,+,1,8.563946587438794,,
PC(33:3),XIC,C41 H76 O8 N1 P1,ESI,742.5381334700002,H-Gain,+,1,7.439255686650986,,
PC(33:4),XIC,C41 H74 O8 N1 P1,ESI,740.5224834700001,H-Gain,+,1,6.643,,
PC(18:0_16:0),XIC,C42 H84 O8 N1 P1,ESI,806.59166053,HCO2-Gain,-,1,13.54108620476065,,
PC(18:0_16:0),XIC,C42 H84 O8 N1 P1,ESI,762.6007334700001,H-Gain,+,1,13.54108620476065,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,804.57601053,HCO2-Gain,-,1,11.139661142968368,,
PC(16:0_18:1),XIC,C42 H82 O8 N1 P1,ESI,760.5850834700001,H-Gain,+,1,11.139661142968368,,
PC(26:1_8:0),XIC,C42 H82 O8 N1 P1,ESI,760.5850834700001,H-Gain,+,1,26.92406551543415,,
PC(26:1_8:0),XIC,C42 H82 O8 N1 P1,ESI,760.5850834700001,H-Gain,+,1,27.087051907348364,,
PC(26:1_8:0),XIC,C42 H82 O8 N1 P1,ESI,760.5850834700001,H-Gain,+,1,27.240133450733296,,
PC(11:0_23:1),XIC,C42 H82 O8 N1 P1,ESI,760.5850834700001,H-Gain,+,1,27.34986812888393,,
PC(16:1_18:1),XIC,C42 H80 O8 N1 P1,ESI,802.5603605299999,HCO2-Gain,-,1,9.24126420414363,,
PC(16:1_18:1),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,9.24126420414363,,
PC(16:1_18:1),XIC,C42 H80 O8 N1 P1,ESI,802.5603605299999,HCO2-Gain,-,1,9.475519795729047,,
PC(16:1_18:1),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,9.475519795729047,,
PC(34:2),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,27.073000000000004,,
PC(34:2),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,27.344587978326498,,
PC(34:2),XIC,C42 H80 O8 N1 P1,ESI,758.56943347,H-Gain,+,1,26.979852782622203,,
PC(18:2e_16:0),XIC,C42 H82 O7 N1 P1,ESI,744.5901684700001,H-Gain,+,1,16.964649567669532,,
PC(16:1_18:2),XIC,C42 H78 O8 N1 P1,ESI,800.5447105299999,HCO2-Gain,-,1,7.838396082271837,,
PC(16:1_18:2),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,7.838396082271837,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,800.5447105299999,HCO2-Gain,-,1,8.258176061209488,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,8.258176061209488,,
PC(16:0_18:3),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,8.428649400418255,,
PC(34:3),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,27.097,,
PC(34:3),XIC,C42 H78 O8 N1 P1,ESI,756.55378347,H-Gain,+,1,27.56,,
PC(16:1_18:3),XIC,C42 H76 O8 N1 P1,ESI,798.52906053,HCO2-Gain,-,1,6.830609723845017,,
PC(16:1_18:3),XIC,C42 H76 O8 N1 P1,ESI,754.5381334700002,H-Gain,+,1,6.830609723845017,,
PC(16:2_18:2),XIC,C42 H76 O8 N1 P1,ESI,754.5381334700002,H-Gain,+,1,8.091324343885798,,
PC(17:0_18:1),XIC,C43 H84 O8 N1 P1,ESI,774.6007334700001,H-Gain,+,1,11.872058618688822,,
PC(17:0_18:1),XIC,C43 H84 O8 N1 P1,ESI,774.6007334700001,H-Gain,+,1,12.42418275376078,,
PC(17:0_18:2),XIC,C43 H82 O8 N1 P1,ESI,772.5850834700001,H-Gain,+,1,10.208271716169644,,
PC(17:1_18:1),XIC,C43 H82 O8 N1 P1,ESI,772.5850834700001,H-Gain,+,1,10.596130627921024,,
PC(17:1_18:2),XIC,C43 H80 O8 N1 P1,ESI,770.56943347,H-Gain,+,1,8.925770825055038,,
PC(35:3),XIC,C43 H80 O8 N1 P1,ESI,814.5603605299999,HCO2-Gain,-,1,12.155,,
PC(17:1_18:3),XIC,C43 H78 O8 N1 P1,ESI,768.55378347,H-Gain,+,1,7.790552991290993,,
PC(22:6_13:0),XIC,C43 H74 O8 N1 P1,ESI,808.51341053,HCO2-Gain,-,1,10.769,,
PC(18:0_18:1),XIC,C44 H86 O8 N1 P1,ESI,832.6073105300001,HCO2-Gain,-,1,13.710814608069175,,
PC(18:0_18:1),XIC,C44 H86 O8 N1 P1,ESI,788.6163834700002,H-Gain,+,1,13.710814608069175,,
PC(18:1_18:1),XIC,C44 H84 O8 N1 P1,ESI,830.59166053,HCO2-Gain,-,1,11.293680195658682,,
PC(18:1_18:1),XIC,C44 H84 O8 N1 P1,ESI,786.6007334700001,H-Gain,+,1,11.293680195658682,,
PC(18:1_18:1),XIC,C44 H84 O8 N1 P1,ESI,830.59166053,HCO2-Gain,-,1,11.790285289206299,,
PC(18:1_18:1),XIC,C44 H84 O8 N1 P1,ESI,786.6007334700001,H-Gain,+,1,11.790285289206299,,
PC(18:1_18:2),XIC,C44 H82 O8 N1 P1,ESI,828.57601053,HCO2-Gain,-,1,9.658923038129778,,
PC(18:1_18:2),XIC,C44 H82 O8 N1 P1,ESI,784.5850834700001,H-Gain,+,1,9.658923038129778,,
PC(18:0_18:3),XIC,C44 H82 O8 N1 P1,ESI,828.57601053,HCO2-Gain,-,1,10.330901039994938,,
PC(18:0_18:3),XIC,C44 H82 O8 N1 P1,ESI,784.5850834700001,H-Gain,+,1,10.330901039994938,,
PC(22:1_14:2),XIC,C44 H82 O8 N1 P1,ESI,784.5850834700001,H-Gain,+,1,11.293,,
PC(18:1_18:2),XIC,C44 H82 O8 N1 P1,ESI,784.5850834700001,H-Gain,+,1,26.933526735686645,,
PC(36:3),XIC,C44 H82 O8 N1 P1,ESI,784.5850834700001,H-Gain,+,1,27.768,,
PC(18:2_18:2),XIC,C44 H80 O8 N1 P1,ESI,826.5603605299999,HCO2-Gain,-,1,8.374148620768674,,
PC(18:2_18:2),XIC,C44 H80 O8 N1 P1,ESI,782.56943347,H-Gain,+,1,8.374148620768674,,
PC(18:1_18:3),XIC,C44 H80 O8 N1 P1,ESI,782.56943347,H-Gain,+,1,11.152104397926697,,
PC(18:1_18:3),XIC,C44 H80 O8 N1 P1,ESI,782.56943347,H-Gain,+,1,26.937050862996685,,
PC(18:1_18:3),XIC,C44 H80 O8 N1 P1,ESI,782.56943347,H-Gain,+,1,27.08710974659134,,
PC(18:1_18:3),XIC,C44 H80 O8 N1 P1,ESI,782.56943347,H-Gain,+,1,27.260165135114537,,
PC(36:4),XIC,C44 H80 O8 N1 P1,ESI,782.56943347,H-Gain,+,1,27.563,,
PC(36:4),XIC,C44 H80 O8 N1 P1,ESI,782.56943347,H-Gain,+,1,27.903,,
PC(18:3_18:2),XIC,C44 H78 O8 N1 P1,ESI,824.5447105299999,HCO2-Gain,-,1,7.1258584633532065,,
PC(18:3_18:2),XIC,C44 H78 O8 N1 P1,ESI,780.55378347,H-Gain,+,1,7.1258584633532065,,
PC(18:3_18:2),XIC,C44 H78 O8 N1 P1,ESI,780.55378347,H-Gain,+,1,8.024466338730997,,
PC(18:3_18:2),XIC,C44 H78 O8 N1 P1,ESI,780.55378347,H-Gain,+,1,8.127,,
PC(18:3_18:2),XIC,C44 H78 O8 N1 P1,ESI,780.55378347,H-Gain,+,1,8.575365764088831,,
PC(18:3_18:3),XIC,C44 H76 O8 N1 P1,ESI,822.52906053,HCO2-Gain,-,1,6.248810515910353,,
PC(18:3_18:3),XIC,C44 H76 O8 N1 P1,ESI,816.4940164700001,K-Gain,+,1,6.248810515910353,,
PC(18:3_18:3),XIC,C44 H76 O8 N1 P1,ESI,778.5381334700002,H-Gain,+,1,6.248810515910353,,
PC(18:3_18:3),XIC,C44 H76 O8 N1 P1,ESI,778.5381334700002,H-Gain,+,1,7.4342288275926975,,
PC(18:3_18:3),XIC,C44 H76 O8 N1 P1,ESI,778.5381334700002,H-Gain,+,1,7.857533451455678,,
PC(18:3_18:3),XIC,C44 H76 O8 N1 P1,ESI,778.5381334700002,H-Gain,+,1,8.238,,
PC(36:7),XIC,C44 H74 O8 N1 P1,ESI,776.5224834700001,H-Gain,+,1,5.915,,
PC(19:0_18:1),XIC,C45 H88 O8 N1 P1,ESI,802.63203347,H-Gain,+,1,14.251953120100302,,
PC(37:3),XIC,C45 H84 O8 N1 P1,ESI,798.6007334700001,H-Gain,+,1,10.961,,
PC(38:1),XIC,C46 H90 O8 N1 P1,ESI,816.6476834700001,H-Gain,+,1,14.833,,
PC(38:1),XIC,C46 H90 O8 N1 P1,ESI,816.6476834700001,H-Gain,+,1,15.96,,
PC(38:2),XIC,C46 H88 O8 N1 P1,ESI,814.63203347,H-Gain,+,1,14.467,,
