"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n182.raw (F1)"	"Area: cbr_n190.raw (F2)"	"Area: cbr_n193.raw (F3)"	"Area: cbr_n204.raw (F4)"	"Area: cbr_n216.raw (F5)"	"Area: cbr_n228.raw (F6)"	"Area: cbr_o180.raw (F7)"	"Area: cbr_o188.raw (F8)"	"Area: cbr_o189.raw (F9)"	"Area: cbr_o196.raw (F10)"	"Area: cbr_o198.raw (F11)"	"Area: cbr_o199.raw (F12)"	"Area: cbr_o213.raw (F13)"	"Area: cbr_o220.raw (F14)"	"Area: cbr_o229.raw (F15)"	"Area: ct_n179.raw (F16)"	"Area: ct_n185.raw (F17)"	"Area: ct_n191.raw (F18)"	"Area: ct_n203.raw (F19)"	"Area: ct_n205.raw (F20)"	"Area: ct_n211.raw (F21)"	"Area: ct_n218.raw (F22)"	"Area: ct_n223.raw (F23)"	"Area: ct_n224.raw (F24)"	"Area: ct_o175.raw (F25)"	"Area: ct_o184.raw (F26)"	"Area: ct_o192.raw (F27)"	"Area: ct_o206.raw (F28)"	"Area: ct_o207.raw (F29)"	"Area: ct_o209.raw (F30)"	"Area: ct_o219.raw (F31)"	"Area: ct_o222.raw (F32)"	"Area: ct_o225.raw (F33)"	"Area: s06_174.raw (F34)"	"Area: s06_181.raw (F35)"	"Area: s06_186.raw (F36)"	"Area: s06_197.raw (F37)"	"Area: s06_208.raw (F38)"	"Area: s06_210.raw (F39)"	"Area: s06_217.raw (F40)"	"Area: s06_227.raw (F41)"	"Area: syd_n176.raw (F42)"	"Area: syd_n183.raw (F43)"	"Area: syd_n194.raw (F44)"	"Area: syd_n202.raw (F45)"	"Area: syd_n212.raw (F46)"	"Area: syd_o177.raw (F47)"	"Area: syd_o178.raw (F48)"	"Area: syd_o187.raw (F49)"	"Area: syd_o195.raw (F50)"	"Area: syd_o200.raw (F51)"	"Area: syd_o201.raw (F52)"	"Area: syd_o215.raw (F53)"	"Area: syd_o221.raw (F54)"	"Area: syd_o226.raw (F55)"
"False"	"PC(8:0_23:1)"	"C39 H76 N O8 P"	"Full match"	"Full match"	"717.53222"	"8.024"	"1102677.73178713"	"Single match found"	""	""	""	""	"100881.974941732"	""	""	""	""	""	""	""	"51397.000659115"	""	""	""	""	""	""	""	""	""	""	""	"321720.847880143"	"311656.254845941"	""	"901298.010545101"	"256515.050450335"	"348591.512234498"	""	"484553.592513503"	""	""	""	""	"125736.544954145"	"492142.180935439"	""	"64207.026554624"	""	""	"654029.656548809"	""	"1102677.73178713"	"42989.186350846"	"306295.114460152"	""	""	""	""	"132436.890903311"	"468531.166352805"	"159586.165957127"	""
"False"	"TG(16:0_14:0_15:0)"	"C48 H95 N O6"	"Not the top hit"	"Full match"	"781.71717"	"20.883"	"1094554.43557731"	"Single match found"	"332138.272765519"	"137701.567901403"	"308285.535786083"	"210940.620243179"	"118541.606968206"	"99684.7089061038"	"243473.510491385"	"285818.596960566"	"322306.956146052"	"435127.627190118"	"554035.876062292"	"87947.7269554399"	"163931.346973788"	"362863.979982624"	"189212.896900598"	"206486.667184571"	"366838.99875309"	"174325.586109969"	"69788.5048260338"	"662999.573788022"	"143296.546886616"	"128354.693133225"	"122632.598632977"	"78433.2803873403"	"343427.262277144"	"720072.370781004"	"416403.967931245"	"378208.214584772"	"678393.389270866"	"279406.560082736"	"600104.014515909"	"228327.874348158"	"245199.25262906"	"562464.951546025"	"423071.183508754"	"138911.278043814"	"464693.612440982"	"269381.383604742"	"246375.502853447"	"306069.101825227"	"417716.831559759"	"524548.220029021"	"548537.27762459"	"662906.7965568"	"1094554.43557731"	"318578.731857763"	"824937.724757826"	"1089743.03550517"	"672693.225204916"	"358872.742986183"	"485284.87624524"	"777786.43049362"	"324131.053328697"	"550894.384261691"	"402370.041785768"
"False"	"PS(38:3e)"	"C44 H82 N O9 P"	"No match"	"Full match"	"799.57124"	"15.847"	"1069785.23850581"	"Single match found"	"671435.264903153"	"763285.557737242"	"661151.693529206"	"636446.34917073"	"481590.903259649"	"754565.272500214"	"387154.013238423"	"725420.515469074"	"733012.132056209"	"962036.946971241"	"574899.967170431"	"521781.954271091"	"558595.383354312"	"741547.863097671"	"719062.36460948"	"674713.913670817"	"683900.28899172"	"669239.442930299"	"847439.510594124"	"769679.931520573"	"842361.305020464"	"640867.150955357"	"802540.94016533"	"763855.408966329"	"741595.614958737"	"710376.85548209"	"890691.215762284"	"865999.465102687"	"834274.343818143"	"901996.093483486"	"812307.092742214"	"881358.739774143"	"538983.406133447"	"644344.653007841"	"846989.232598691"	"748833.721882226"	"508195.766738811"	"971338.802430606"	"664832.18500626"	"271730.958583242"	"667267.385971781"	"539161.219585034"	"1069785.23850581"	"715536.70129238"	"845720.309505607"	"433705.014785818"	"808607.112316318"	"637488.870232754"	"723732.439088269"	"751469.870724066"	"710868.730350411"	"746738.913108194"	"587804.577437713"	"778927.602119538"	"738285.20747606"
"False"	"CL(14:3_22:5_18:2_18:2)"	"C81 H134 O17 P2"	"Not the top hit"	"Full match"	"1440.91006"	"18.440"	"1061408.94169186"	"Multiple matches found"	"295753.354199313"	"173509.094554999"	"230493.542698108"	"240429.809678692"	"176064.293165443"	"188800.068250109"	"201178.287338559"	"343892.486176175"	"269830.313344419"	"396462.096197872"	"219535.893519583"	"149682.532674647"	"170182.654399483"	"251779.597623716"	"204155.224413142"	"614833.525122894"	"287249.475592523"	"204174.421791615"	"314174.322358373"	"341349.041413715"	"282755.731688477"	"140936.900162539"	"247471.345313965"	"108345.039043256"	"254074.559481449"	"255989.504062557"	"266311.452550265"	"352480.847873023"	"331978.954076915"	"1061408.94169186"	"816147.676166981"	"66981.595846472"	"185601.06701277"	"128795.399685289"	"232563.415910522"	"342033.508687099"	"196977.793285875"	"259190.424949051"	"449040.621026054"	"111068.656799017"	"292607.504668574"	"270747.942887652"	"115825.421558433"	"374105.684074323"	"234824.507480945"	"119030.657578793"	"119230.691189121"	"301673.835663588"	"261799.949132717"	"310736.405457326"	"331255.553922345"	"281515.831228252"	"186903.81896932"	"242774.829069592"	"305860.757339524"
"False"	"PC(8:0_23:1)"	"C39 H76 N O8 P"	"Not the top hit"	"Full match"	"717.53183"	"8.353"	"1060011.3917352"	"Single match found"	"478885.112212692"	"354595.754640516"	"583504.662301058"	"200458.178100026"	"423839.418491871"	"228773.787385765"	"307502.613205643"	"610136.079937552"	"633763.408920605"	"882189.53710235"	"438234.057957431"	"428186.687952611"	"318694.874834438"	"784498.277155959"	"436562.207462322"	"212331.159957353"	"323023.645520978"	"295860.622946923"	"293391.550742874"	"606681.439801885"	"262942.422764573"	"232780.475142369"	"222907.605430983"	"260808.642324803"	"236698.20901936"	"326506.001297286"	"524992.326110774"	""	"547110.469456103"	"204632.657978871"	"787801.843698839"	""	"300210.752812113"	"663158.198406737"	"581248.482319533"	"635791.636823806"	"298082.569846532"	"296478.174773705"	"873764.480057969"	"331312.796815479"	"645660.125893764"	"376957.237503269"	""	"569549.023518444"	""	"307475.834169272"	"548704.982961816"	"656072.472843963"	"1060011.3917352"	"401723.727553554"	"576536.043726403"	"763231.038777361"	"284228.860271959"	"494098.478274017"	"734231.022076754"
"False"	"PC(36:7)"	"C44 H74 N O8 P"	"Not the top hit"	"Full match"	"775.51393"	"5.827"	"1040818.78886998"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"55200.348347537"	"149352.952974579"	""	"145952.020269156"	"145974.928399673"	""	"99162.0899065598"	"403749.49111813"	""	""	"443806.973759652"	""	""	""	""	"233663.117504043"	"409914.304945301"	""	"1040818.78886998"	""	"288749.167839884"	"316217.303738139"
"False"	"PI(4:0_12:2)"	"C25 H43 O13 P"	"No match"	"Invalid mass"	"582.24881"	"1.451"	"1040698.94854919"	"Single match found"	"778567.272794481"	"963803.803261247"	"1040698.94854919"	"653414.06180446"	"813872.747882534"	"803126.238919806"	"609286.420636434"	"661885.763930852"	"838612.136128014"	"814215.051663071"	"494991.036924559"	"385871.568164162"	"376116.643858862"	"786308.58546074"	"782913.772170244"	"432991.126997944"	"750237.607419693"	"717713.028447064"	"680331.09950239"	"959024.272798163"	"963713.938018556"	"535420.769590779"	"341671.734169628"	"616650.181862843"	"477452.743305004"	"810048.560955174"	"560723.538902272"	"1015136.4741986"	"480023.161357413"	"288959.974511023"	"731139.799008075"	"163180.611698161"	"298121.994861396"	"926309.141377287"	"445220.548796714"	"673178.914697782"	"604197.198861396"	"675122.888969178"	"439480.820000668"	"674262.911167552"	"803243.908868657"	"609492.535195469"	"862110.620421529"	"703645.354742375"	"435637.934426349"	"422292.722790654"	"499403.153440632"	"839652.338224932"	"934632.339596484"	"773968.74200376"	"472327.886179035"	"718340.287674465"	"815035.369390616"	"467656.67230034"	"720954.275512158"
"False"	"DG(16:1_18:2)"	"C37 H69 N O5"	"Full match"	"Full match"	"607.51835"	"11.282"	"1039625.93904539"	"Multiple matches found"	"787037.777233819"	""	""	""	""	""	""	""	""	"706411.652989629"	""	""	""	""	""	"634671.530389757"	""	""	""	"495026.530398525"	""	""	"198111.967402894"	""	"311158.647218709"	"643177.010844912"	"740231.881282563"	"566717.489042704"	""	"453730.158235113"	""	""	""	""	""	""	""	""	""	""	""	""	"174372.724205018"	""	"343979.639843181"	""	""	""	"524435.14715502"	""	"1039625.93904539"	""	""	""	""
"False"	"CL(12:3_22:6_22:3_18:2)"	"C83 H134 O17 P2"	"No match"	"Full match"	"1464.90645"	"18.070"	"1034823.44081721"	"Multiple matches found"	"346850.764940472"	"1034823.44081721"	"553266.044378683"	"786478.48538592"	"436226.827312938"	"718495.461725272"	"562519.449099097"	"377447.269810267"	"763851.716002595"	"504319.452292204"	"377331.134132329"	"587451.693345362"	"329457.014432169"	"405601.751778114"	"565556.069807546"	"829051.754338546"	"585853.618867345"	"662645.986301478"	"958046.72954469"	"769587.404834725"	"804083.474508336"	"425102.180674838"	"547184.029850245"	"653044.703942178"	"451683.73472197"	"255301.491217437"	"154270.792852861"	"389604.667159851"	"474810.420248219"	"125111.379989841"	"189530.99136794"	"16190.3488295718"	"429833.18667196"	"43132.2120443018"	"148278.961051137"	"446369.779257317"	"149288.531446558"	"138712.542495953"	"750686.241481647"	"87181.0273570501"	"415552.313398884"	"657725.791604907"	"69366.1632624696"	"451000.468949884"	"104497.721856237"	"150778.17027565"	"37750.8160582481"	"376115.383480296"	"270362.788086489"	"679193.997744432"	"579292.411235003"	"621897.788114044"	"170691.591053076"	"276886.704440628"	"630765.153236668"
"False"	"TG(17:1_11:4_14:2)"	"C45 H75 N O6"	"No match"	"Full match"	"725.56055"	"15.990"	"1033958.54352853"	"Multiple matches found"	"495625.664782697"	""	"756527.944734253"	"606075.104098757"	""	""	""	"590549.762456062"	""	"953255.335882666"	"499007.093536397"	""	""	"477570.083739888"	"789765.134554548"	""	"1033958.54352853"	""	""	""	""	""	"173044.638743542"	""	"90145.0557231138"	"114741.958977879"	"107187.417402725"	"251636.065236847"	"196865.419884085"	"32427.9445428871"	"142663.110295117"	""	""	""	"95707.023857556"	""	""	""	""	""	"162855.28075417"	""	"201605.512289794"	"213614.310654554"	""	""	"76114.9211983914"	"220750.07362322"	"233820.030180795"	""	""	""	""	"254508.304855576"	""
