"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n62.raw (F1)"	"Area: cbr_n71.raw (F2)"	"Area: cbr_n86.raw (F3)"	"Area: cbr_n96.raw (F4)"	"Area: cbr_n102.raw (F5)"	"Area: cbr_n116.raw (F6)"	"Area: cbr_o64.raw (F7)"	"Area: cbr_o72.raw (F8)"	"Area: cbr_o81.raw (F9)"	"Area: cbr_o89.raw (F10)"	"Area: cbr_o93.raw (F11)"	"Area: cbr_o98.raw (F12)"	"Area: cbr_o107.raw (F13)"	"Area: ct_n61.raw (F14)"	"Area: ct_n67.raw (F15)"	"Area: ct_n75.raw (F16)"	"Area: ct_n83.raw (F17)"	"Area: ct_n90.raw (F18)"	"Area: ct_n103.raw (F19)"	"Area: ct_n114.raw (F20)"	"Area: ct_o63.raw (F21)"	"Area: ct_o70.raw (F22)"	"Area: ct_o73.raw (F23)"	"Area: ct_o82.raw (F24)"	"Area: ct_o91.raw (F25)"	"Area: ct_o105.raw (F26)"	"Area: ct_o117.raw (F27)"	"Area: ct-o115.raw (F28)"	"Area: s06_66.raw (F29)"	"Area: s06_77.raw (F30)"	"Area: s06_78.raw (F31)"	"Area: s06_84.raw (F32)"	"Area: s06_92.raw (F33)"	"Area: S06_95.raw (F34)"	"Area: s06_101.raw (F35)"	"Area: s06_109.raw (F36)"	"Area: syd_n65.raw (F37)"	"Area: syd_n69.raw (F38)"	"Area: syd_n74.raw (F39)"	"Area: syd_n80.raw (F40)"	"Area: syd_n85.raw (F41)"	"Area: syd_n87.raw (F42)"	"Area: syd_n97.raw (F43)"	"Area: syd_n99.raw (F44)"	"Area: syd_n100.raw (F45)"	"Area: syd_n104.raw (F46)"	"Area: syd_n110.raw (F47)"	"Area: syd_o76.raw (F48)"	"Area: syd_o79.raw (F49)"	"Area: syd_o94.raw (F50)"	"Area: syd_o106.raw (F51)"	"Area: syd-o112.raw (F52)"
"False"	"TG(16:0_17:0_18:1)"	"C54 H105 N O6"	"No match"	"Invalid mass"	"863.78885"	"21.280"	"3835680.00771876"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	"1762587.6592036"	""	""	"3835680.00771876"	""	""	""	""	""	""	""	""	""	""	""	""	"3175782.04574332"	""	""	"965126.477012127"	""	"2803441.47440543"	""	"1920986.65966744"	""	"787595.202298689"	""	""	""	""	"872346.055199981"	""	""	""	""	""	""	""	"626064.496578003"	""	""	""	""
"False"	"TG(16:0_18:1_20:0)"	"C57 H111 N O6"	"Not the top hit"	"Full match"	"905.83750"	"22.048"	"3672405.04111472"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2373791.81515753"	""	""	""	""	""	"3672405.04111472"
"False"	"PS(20:0_18:1)"	"C44 H84 N O10 P"	"Not the top hit"	"Full match"	"817.58150"	"14.685"	"3663813.74937322"	"Single match found"	"361070.722876781"	"519169.834266655"	"254535.829154435"	"105271.457938727"	"467097.609109785"	"1033443.01495497"	"905988.782956607"	"376362.083442723"	"788670.724958488"	"429018.358291676"	"204205.21524929"	"294642.405263891"	"1247366.01958232"	"313268.399032183"	"258702.539531879"	"431948.327189829"	"398985.623523664"	"1034570.45052222"	"498558.597270254"	"325320.178819438"	"233524.138435097"	"714237.016305842"	"414314.061730303"	"413366.703254136"	"358919.861662643"	"766624.166907402"	"368834.893687583"	"255637.005023353"	"359103.377741955"	"398851.021918598"	"600439.405706671"	"460730.17930741"	"480530.563644782"	"3663813.74937322"	"435582.844786207"	"312349.004392195"	"511380.451990779"	"264635.02105622"	"219962.254021212"	"537375.970100775"	"460535.330762227"	"485106.217559432"	"323859.044415836"	"309845.302306686"	"357611.377614215"	"416189.914761196"	"226408.733285965"	"291629.827774714"	"528216.173084481"	"888633.420703829"	"410283.809396284"	"507306.346847769"
"False"	"Cer(m21:1_15:0+O)"	"C36 H71 N O3"	"Not the top hit"	"Full match"	"565.54156"	"13.579"	"3663369.71908675"	"Multiple matches found"	"103918.009152316"	""	"186589.015487457"	"260957.466874068"	"650314.78714969"	"796089.024238762"	"357830.705942598"	"361581.099444378"	"718812.345067689"	"85580.0605282099"	"143825.720691734"	"386859.092455949"	"802187.555619171"	"108064.483066283"	"80104.4621421929"	"194037.129101009"	"138185.719846533"	"296560.399030983"	"310373.369803549"	"278845.680174237"	"376611.809693277"	""	""	""	""	"807566.82231279"	""	"239591.123756161"	""	""	"180023.51007342"	"426811.308929684"	"418514.8114122"	"3663369.71908675"	"566679.170989219"	"617094.104990997"	"85411.7778052787"	"585201.269492262"	"252948.236426021"	"236674.818789439"	"748351.433089878"	""	"343069.972325658"	"609320.809359082"	"598574.91903448"	"324778.906255854"	"351779.479380471"	"68044.6990927736"	"268297.281410682"	""	"115019.347870858"	"607359.381503349"
"False"	"TG(4:0_14:0_16:0)"	"C37 H73 N O6"	"Not the top hit"	"Full match"	"627.54152"	"16.295"	"3607347.3032415"	"Multiple matches found"	"585589.018899408"	""	"665390.503024051"	"474868.587696156"	"2841591.74087413"	""	""	""	""	""	"61935.8211650648"	""	""	""	""	""	"2497480.12877354"	"533519.084777207"	""	""	""	""	""	"542219.869207478"	""	"237269.70497391"	""	""	""	""	""	""	""	""	""	""	""	""	"533043.099075043"	"416585.689112148"	"192942.83886048"	""	""	""	"3607347.3032415"	""	""	"410413.530288636"	""	"2032835.69770894"	"151383.760506589"	"62921.4619937521"
"False"	"TG(16:1_18:1_18:1)"	"C55 H103 N O6"	"Not the top hit"	"Full match"	"873.77541"	"21.481"	"3530865.80850321"	"Multiple matches found"	""	""	""	"1758268.3065271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3530865.80850321"	""	""	""	""	""	""	"2818641.05754495"	"1336906.73603999"	""	""	""	""	""	""	""	""	""
"False"	"TG(19:0_11:1_8:0)"	"C41 H79 N O6"	"Full match"	"Full match"	"681.58831"	"16.084"	"3456902.82932232"	"Multiple matches found"	""	"459943.016922828"	""	""	""	""	""	""	"16399.706102804"	"764261.434863259"	"270953.094441669"	"234030.095139076"	""	"3456902.82932232"	""	""	""	""	""	""	""	""	""	""	""	"975303.217327714"	""	""	""	""	""	""	""	""	""	"273615.268495838"	"419373.84255824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(16:0_10:1_18:2)"	"C47 H87 N O6"	"No match"	"Full match"	"761.65082"	"19.332"	"3414738.88439139"	"Multiple matches found"	""	"896765.582942515"	"285035.948536757"	"83544.3178123142"	"198288.809814446"	"421097.695361547"	"134911.634464697"	"824751.335110978"	"16752.4090358431"	"217732.551692808"	""	""	"301103.616054733"	"114786.260452457"	""	"129285.821455653"	"470559.93799436"	"230246.742412775"	"286098.585392213"	"400091.729514436"	""	"296446.357337554"	""	"445456.178887662"	"127505.813352128"	""	"1014353.8924816"	"177598.465206949"	"217869.267420546"	""	"381532.017679966"	"377194.182863693"	"362939.721881016"	"3414738.88439139"	""	"604793.130901231"	"136900.131569888"	""	""	""	"113415.904096994"	""	"222372.572092194"	""	""	"217507.045083511"	""	"66748.6584584011"	"335754.749022128"	"256836.512956031"	"132317.602672898"	"43597.7178850193"
"False"	"PA(36:0_22:0)"	"C61 H121 O8 P"	"Not the top hit"	"Full match"	"1012.87666"	"16.643"	"3353585.2083071"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3353585.2083071"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"PE(37:2e)"	"C42 H82 N O7 P"	"Unused"	"Invalid mass"	"743.58960"	"11.498"	"3334188.25693437"	"Single match found"	"617384.399572104"	"1143609.67854522"	"475586.783460791"	"368795.842720734"	"805098.992425274"	"434873.359731217"	"932878.792621456"	"709163.738049758"	"595696.694744627"	"394495.098831299"	"250075.311613513"	"595078.639229136"	"1151481.74041762"	"505301.758277105"	"540463.663151773"	"307121.495455838"	"677981.371227677"	"868614.948202335"	"709986.898204299"	"614983.618156693"	"544815.389070487"	"986365.2831253"	"627292.378676115"	"724865.97669288"	"559209.869848009"	"855876.858032716"	"912399.157904828"	"579924.401241752"	"597953.822678241"	"742633.686811081"	"704111.867201853"	"463041.104527378"	"295882.489801352"	"3334188.25693437"	"729497.054604038"	"741915.849890026"	"497042.094147554"	"861863.682777652"	"543543.561157362"	"718907.082733955"	"781317.797823913"	"297390.493267706"	"600183.164468327"	"730195.755339569"	"337000.294605916"	"712556.712363955"	"428162.62898251"	"525736.574534052"	"947769.690952925"	"948134.811056994"	"678384.77051178"	"800275.199283074"
