CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
CerP(d38:6),XIC,C38 H66 O6 N1 P1,ESI,681.4966024700001,NH4-Gain,+,1,4.957442645758627,,
CerP(d21:2_18:0+O),XIC,C39 H76 O7 N1 P1,ESI,702.5432184700002,H-Gain,+,1,11.41828823697257,,
CerP(d24:2_16:1+2O),XIC,C40 H76 O8 N1 P1,ESI,730.53813347,H-Gain,+,1,27.019,,
CerP(d24:1_18:2+2O),XIC,C42 H80 O8 N1 P1,ESI,758.5694334700001,H-Gain,+,1,27.004,,
CerP(m19:1_20:1+O),XIC,C39 H76 O6 N1 P1,ESI,703.5748524700001,NH4-Gain,+,1,13.345,,
CerP(t17:0_16:0+2O),XIC,C33 H68 O9 N1 P1,ESI,676.4523934700001,Na-Gain,+,1,4.029681578170458,,
CerP(t33:2+2O),XIC,C33 H64 O9 N1 P1,ESI,650.4391484700002,H-Gain,+,1,3.939,,
CerP(t17:1_18:0+2O),XIC,C35 H70 O9 N1 P1,ESI,702.4680434700001,Na-Gain,+,1,4.889252187511766,,
CerP(t17:1_18:2+2O),XIC,C35 H66 O9 N1 P1,ESI,676.4547984700001,H-Gain,+,1,4.0298397179313605,,
CerP(t18:0_18:0+O),XIC,C36 H74 O8 N1 P1,ESI,702.5044284700001,Na-Gain,+,1,6.403715836250521,,
CerP(t18:0_18:0+O),XIC,C36 H74 O8 N1 P1,ESI,702.5044284700001,Na-Gain,+,1,8.833267104765786,,
CerP(t20:0_18:0+O),XIC,C38 H78 O8 N1 P1,ESI,730.5357284700001,Na-Gain,+,1,7.6218132923005415,,
CerP(t39:0),XIC,C39 H80 O7 N1 P1,ESI,723.6010674700001,NH4-Gain,+,1,4.789,,
CerP(t17:0_23:0+O),XIC,C40 H82 O8 N1 P1,ESI,758.5670284700001,Na-Gain,+,1,26.972,,
CerPE(d32:2),XIC,C34 H67 O6 N2 P1,ESI,631.4809524700001,H-Gain,+,1,6.954,,
CerPE(d34:2),XIC,C36 H71 O6 N2 P1,ESI,659.5122524700001,H-Gain,+,1,8.776542734819579,,
CerPE(d35:7),XIC,C37 H63 O6 N2 P1,ESI,680.4762014700001,NH4-Gain,+,1,10.811546844137403,,
CerPE(d36:2),XIC,C38 H75 O6 N2 P1,ESI,687.5435524700001,H-Gain,+,1,11.043797701487351,,
DG(8:0e_6:0),XIC,C17 H34 O4,ESI,325.23493147000005,Na-Gain,+,1,1.8332609338002903,,
