"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n119.raw (F1)"	"Area: cbr_n128.raw (F2)"	"Area: cbr_n151.raw (F3)"	"Area: cbr_n153.raw (F4)"	"Area: cbr_n165.raw (F5)"	"Area: cbr_o124.raw (F6)"	"Area: cbr_o127.raw (F7)"	"Area: cbr_o131.raw (F8)"	"Area: cbr_o139.raw (F9)"	"Area: cbr_o150.raw (F10)"	"Area: cbr_o154.raw (F11)"	"Area: cbr_o156.raw (F12)"	"Area: cbr_o167.raw (F13)"	"Area: cbr_o168.raw (F14)"	"Area: ct_n122.raw (F15)"	"Area: ct_n125.raw (F16)"	"Area: ct_n147.raw (F17)"	"Area: ct_n149.raw (F18)"	"Area: ct_n161.raw (F19)"	"Area: ct_n164.raw (F20)"	"Area: ct_n173.raw (F21)"	"Area: ct_o130.raw (F22)"	"Area: ct_o136.raw (F23)"	"Area: ct_o140.raw (F24)"	"Area: ct_o145.raw (F25)"	"Area: ct_o152.raw (F26)"	"Area: ct_o159.raw (F27)"	"Area: ct_o166.raw (F28)"	"Area: s06_118.raw (F29)"	"Area: s06_120.raw (F30)"	"Area: s06_121.raw (F31)"	"Area: s06_143.raw (F32)"	"Area: s06_146.raw (F33)"	"Area: s06_155.raw (F34)"	"Area: s06_158.raw (F35)"	"Area: s06_163.raw (F36)"	"Area: S06_171.raw (F37)"	"Area: syd_160.raw (F38)"	"Area: syd_n126.raw (F39)"	"Area: syd_n132.raw (F40)"	"Area: syd_n134.raw (F41)"	"Area: syd_n138.raw (F42)"	"Area: syd_n141.raw (F43)"	"Area: syd_n144.raw (F44)"	"Area: syd_n148.raw (F45)"	"Area: syd_n157.raw (F46)"	"Area: syd_n162.raw (F47)"	"Area: syd_n169.raw (F48)"	"Area: syd_n172.raw (F49)"	"Area: syd_o129.raw (F50)"	"Area: syd_o133.raw (F51)"	"Area: syd_o135.raw (F52)"	"Area: syd_o137.raw (F53)"	"Area: syd_o142.raw (F54)"	"Area: syd_o170.raw (F55)"
"False"	"LPC(18:4)"	"C26 H46 N O7 P"	"No match"	"Invalid mass"	"515.29646"	"2.124"	"178665.46906856"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"178665.46906856"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"57831.5472562613"	""	""
"False"	"LPC(20:0)"	"C28 H58 N O7 P"	"Not the top hit"	"Full match"	"551.39244"	"4.960"	"178660.58404778"	"Single match found"	"97416.7143406168"	"49944.760843241"	"86289.7994101311"	"63475.1923739254"	"58198.4639101164"	"107868.862031689"	"178660.58404778"	"70420.0396015382"	"67031.1694361433"	"81047.8753735048"	"47919.3891362616"	"53420.8619295372"	"79656.6883632614"	"88260.6156217568"	"75669.0942410985"	"61973.0344076159"	"68825.8108921615"	"90608.9042373509"	"63507.2102459557"	"106032.391228332"	"90451.5355026708"	"40884.0619412856"	"83276.7316733356"	"55525.5520946778"	"108303.561155737"	"60390.3256009087"	"49279.7984287428"	"43057.1123393312"	"86396.3453564312"	"79646.0586355285"	"86939.1795132996"	"143177.649281311"	"146845.935469595"	"59528.651322151"	"56310.4521680902"	"62528.4587961833"	"70428.7022907581"	"75180.823530441"	"93392.6062473932"	"111485.638143133"	"17681.9485454748"	"43184.2240987789"	"94687.3878890288"	"114957.630493143"	"121076.975487104"	"63568.8428379772"	"148916.207211334"	"171955.276512137"	"97798.6450012659"	"73098.0832345961"	"70194.2965098765"	"50121.2522106318"	"88287.191577375"	"66990.4920264197"	"50420.9893292563"
"False"	"PC(18:2)"	"C26 H48 N O8 P"	"Not the top hit"	"Full match"	"533.30923"	"1.376"	"176603.84101489"	"Single match found"	"79797.0637667766"	"20971.0390681242"	"47368.4041128492"	"39610.0338637181"	"31061.1072359377"	"36850.9631159638"	"43429.4261313999"	"39780.3513838284"	"55793.0689909936"	"63461.6732792918"	"62801.1959274198"	"27269.0890939891"	"22784.2144329351"	"31293.795869339"	"75953.0961090511"	"80145.0768818778"	"57604.4985479351"	"96098.9749166038"	"62057.3621124634"	"76917.2038571161"	"31372.7237606534"	"79291.5939699488"	"139574.207855926"	"18233.2767614788"	"116977.108411449"	"109421.25054966"	"51967.2438693183"	"63362.364767526"	"41991.3689758213"	"81447.4061479057"	"154988.00843"	"73627.374366575"	"32527.0426523697"	"25354.2373910786"	"37497.3477954003"	"88436.6297690746"	"70143.8549035231"	"28946.2396792684"	"90690.2542848853"	"72296.1486078731"	"34373.7476079385"	"90101.8987743075"	"116274.841571242"	"38589.6304956514"	"95969.4519876926"	"72197.2880066861"	"86808.6862421761"	"101108.649127191"	"72244.790055332"	"97144.2718031298"	"176603.84101489"	"52912.4324521644"	"19751.4477033405"	"58156.9713023386"	"72694.0436462824"
"False"	"TG(19:0_11:1_8:0)"	"C41 H79 N O6"	"No match"	"Invalid mass"	"681.58723"	"16.003"	"173144.992369377"	"Multiple matches found"	"132624.55201168"	""	"169391.684011453"	""	""	""	"80061.0312235559"	"82445.5623490404"	""	"112428.341197827"	"92977.3625522574"	""	""	"111960.603040203"	""	""	"83291.479975937"	""	""	""	"61371.1496635602"	""	""	""	"48520.4963102353"	""	"166140.741798727"	""	"173144.992369377"	"168703.222211107"	""	"50423.7637105019"	"79845.9890334406"	"110912.285178856"	"127763.455403318"	"86728.4982458593"	""	"102887.263679351"	""	""	""	"75437.1293974698"	""	""	""	"136855.224915611"	""	"100524.591850495"	"95402.4962296366"	""	"103134.518944361"	""	""	""	""
"False"	"TG(15:0_16:1_16:0)"	"C50 H97 N O6"	"Not the top hit"	"Full match"	"807.72783"	"21.245"	"168623.192418831"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"168623.192418831"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(30:0_16:0_18:1)"	"C67 H131 N O6"	"No match"	"Full match"	"1045.99251"	"23.168"	"167601.998259605"	"Multiple matches found"	""	""	""	""	""	"131434.916908124"	""	""	""	""	""	""	""	""	""	""	"74327.8803652949"	""	""	""	""	""	""	""	""	""	""	""	"137212.63680614"	""	""	""	""	"167601.998259605"	"59481.5490366578"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(16:0_16:1_18:1)"	"C53 H101 N O6"	"Not the top hit"	"Full match"	"847.75932"	"19.156"	"166804.290385869"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"166804.290385869"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(16:1_18:2_15:0)"	"C52 H97 N O6"	"No results"	"Invalid mass"	"831.73756"	"21.037"	"166719.559105528"	"Single match found"	""	""	""	""	""	""	"144845.6411737"	""	""	""	""	""	"166719.559105528"	"163938.36320414"	""	""	""	""	""	""	"35008.0510131318"	""	""	""	"57303.3274060596"	""	""	""	""	"110318.596594868"	""	"120494.126029851"	""	""	""	""	""	""	""	""	""	"52034.1784387045"	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"DG(18:3e)"	"C21 H39 N O4"	"No match"	"Invalid mass"	"369.28603"	"1.922"	"166704.171301768"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"166704.171301768"	""	""	""	""	""	""	""	""	""	""	""	"110166.544648051"	""	""	""	"52171.4164092488"	""	""	""	""	""	"65801.7964961511"	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(4:0_14:1_14:0)"	"C35 H67 N O6"	"No results"	"Full match"	"597.49415"	"11.584"	"162012.917848128"	"Single match found"	""	""	""	""	""	""	"9502.02940307877"	"13180.1280194399"	"5408.64963360197"	"40720.5048655108"	"62642.807635024"	"103244.192955888"	""	""	""	"5199.38384084426"	"21904.8407549116"	"9244.98166316331"	"6350.50635175309"	"22402.8805152785"	"43133.5284306443"	""	""	""	""	""	""	""	"162012.917848128"	""	""	"62099.7221876017"	"68333.3582108755"	""	""	"25965.8027345459"	""	""	""	""	""	""	""	""	""	"42562.8874924193"	""	""	""	"11825.764310951"	""	""	""	""	"14646.9654699726"
"False"	"LPC(16:3)"	"C24 H44 N O7 P"	"Full match"	"Full match"	"489.28334"	"1.514"	"159684.242408766"	"Single match found"	"99114.83167742"	""	"42139.5809111122"	"28552.6856413081"	"13667.9474535431"	"71562.3780557722"	"32146.050245459"	"24714.0186472126"	"19892.8604294733"	"22732.5219568784"	"32799.2027861535"	""	"18915.3037183522"	"25056.1686800147"	"78465.9570036212"	"56114.3529991768"	"41164.645435616"	"65208.8665427887"	"47192.7072923089"	"97883.2523644083"	"33992.8242668619"	"108372.792849619"	"103276.416796688"	"19622.4547559057"	"79737.7050231264"	"51371.85719891"	"17185.9350771086"	"18911.8258711901"	"36423.7187224724"	"76165.1946626968"	"86498.9244091946"	"25748.1473280009"	"37695.5437709713"	"22784.7146050636"	"18293.7256971435"	"37232.1307890107"	"32513.2410143415"	"40105.8364167403"	"135140.231530819"	"159684.242408766"	"30366.2295912972"	"55471.7453754167"	"80170.606323043"	"37365.5841156486"	"84158.8311332912"	"40894.8972847784"	"54650.5855159282"	"125716.65212957"	"57429.2543710793"	"48818.3815868648"	"153179.86930681"	"19625.8171233979"	"48013.4023087619"	"22643.3477415593"	"43669.2193892674"
"False"	"DG(10:0e_10:4)"	"C23 H41 N O4"	"Not the top hit"	"Full match"	"395.30162"	"1.982"	"158904.828522255"	"Single match found"	"60597.2302378161"	"55854.8562823271"	"78669.9725011406"	""	""	""	"96235.8465302017"	"76933.7900234751"	"74536.6472800873"	"77701.4620310291"	"158904.828522255"	"134049.330165136"	"139534.701552858"	"149165.228392429"	""	""	""	""	""	""	""	""	""	""	""	""	"71976.5372500337"	""	""	"71253.0340691722"	""	""	""	"66555.9958834873"	"73427.2703749706"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"PI(17:0_18:3)"	"C44 H79 O13 P"	"Not the top hit"	"Full match"	"846.52479"	"7.771"	"155796.931172257"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"93420.7391223458"	""	""	""	""	""	""	""	""	""	""	""	""	"155796.931172257"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"DG(4:0_14:4)"	"C21 H35 N O5"	"Invalid mass"	"Invalid mass"	"381.24957"	"1.198"	"150957.146031882"	"Single match found"	"12582.2257093868"	"13947.3952696295"	"15438.0732291234"	"11812.9447914172"	""	"150957.146031882"	"9044.5577172409"	"11629.2774188392"	""	""	"33500.0071673432"	""	"32393.4886895844"	""	"19971.800338415"	"29620.0430905136"	"11308.836996163"	"35083.6640790932"	"50560.8307230653"	"23411.6025274387"	"22219.5993254435"	"48521.661342939"	"10392.1255153552"	"13114.8835856102"	"55109.4045562465"	""	""	"13504.7013871636"	""	"16219.7932457574"	""	"149689.375055492"	"16517.7624810291"	""	""	""	"20433.7095972544"	"20776.4471004515"	"45226.9915623477"	"31667.6240459235"	"24961.961021635"	""	"48975.6987848751"	"14292.6954250887"	"19008.8151352116"	"18082.7741274877"	"83499.9024776619"	"16532.9791516582"	"15574.3862708143"	""	"18394.3470640562"	""	""	"27949.9497878499"	"13833.4427618306"
"False"	"PI(18:3_18:2)"	"C45 H77 O13 P"	"No match"	"Full match"	"856.50627"	"6.455"	"150482.020074095"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"150482.020074095"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"PE(17:1e)"	"C22 H44 N O7 P"	"Full match"	"Full match"	"465.28406"	"2.654"	"150089.148495882"	"Multiple matches found"	"22419.2340222171"	"15827.6743588791"	"84900.2055715988"	""	""	"19127.999464489"	""	"10976.5202763112"	"32816.5500750108"	"32483.1704486619"	"53013.1612741501"	"26632.965526149"	"36766.5832826108"	"65388.8040692733"	""	""	""	""	""	""	""	""	"91309.2151047686"	""	""	""	"48629.4817740831"	""	"38864.5222943285"	"110990.529475156"	"29976.1913427901"	"23397.6345078123"	"11889.2978853107"	"53795.2719658507"	"65917.2952763024"	"35989.4429115746"	"38765.2316102627"	"14390.1229956275"	"26180.2140359176"	"113890.27092661"	""	"44186.9139622674"	"62698.3790169516"	"17254.6005570212"	"41769.4302038437"	"79991.6872915857"	""	"20758.5641886342"	"34478.3010693462"	"150089.148495882"	"134279.172831771"	"36153.5266872322"	"76699.3455092068"	"10581.454336906"	""
"False"	"PI(14:0_21:1)"	"C44 H83 O13 P"	"Not the top hit"	"Full match"	"850.55547"	"10.771"	"149738.51932719"	"Single match found"	"149738.51932719"	""	"55570.8993347557"	"43300.8869027799"	""	"121656.392742887"	"71412.846570302"	"43860.3314066291"	"82185.9185101857"	"61906.4539981327"	""	""	""	"108522.503358402"	""	"44624.4335724848"	""	"51936.0182648985"	"3447.08620305445"	"48189.9198406905"	""	"40936.5618640231"	"25879.4785522119"	""	"54042.607028063"	""	""	""	"77382.5801344959"	"86308.8121664987"	""	""	""	""	"68077.7519308092"	"68772.3163497986"	""	"7427.72301406305"	"127262.250531292"	"91892.7445521635"	"22551.9078460493"	"61537.8915039544"	"82004.7331883336"	"113033.752170236"	"90139.278305949"	""	"140114.596050204"	"137381.478735948"	"122783.09135206"	""	""	""	""	"41845.9039374307"	"10809.3306727431"
