"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n04.raw (F1)"	"Area: cbr_n18.raw (F2)"	"Area: cbr_n26.raw (F3)"	"Area: cbr_n40.raw (F4)"	"Area: cbr_n43.raw (F5)"	"Area: cbr_o06.raw (F6)"	"Area: cbr_o07.raw (F7)"	"Area: cbr_o14.raw (F8)"	"Area: cbr_o24.raw (F9)"	"Area: cbr_o27.raw (F10)"	"Area: cbr_o28.raw (F11)"	"Area: cbr_o44.raw (F12)"	"Area: cbr_o50.raw (F13)"	"Area: cbr_o51.raw (F14)"	"Area: ct_n09.raw (F15)"	"Area: ct_n19.raw (F16)"	"Area: ct_n20.raw (F17)"	"Area: ct_n32.raw (F18)"	"Area: ct_n37.raw (F19)"	"Area: ct_n39.raw (F20)"	"Area: ct_n48.raw (F21)"	"Area: ct_o16.raw (F22)"	"Area: ct_o17.raw (F23)"	"Area: ct_o30.raw (F24)"	"Area: ct_o33.raw (F25)"	"Area: ct_o38.raw (F26)"	"Area: ct_o42.raw (F27)"	"Area: ct_o46.raw (F28)"	"Area: ct_o53.raw (F29)"	"Area: s06_02.raw (F30)"	"Area: s06_10.raw (F31)"	"Area: s06_13.raw (F32)"	"Area: s06_25.raw (F33)"	"Area: s06_31.raw (F34)"	"Area: s06_35.raw (F35)"	"Area: s06_41.raw (F36)"	"Area: s06_47.raw (F37)"	"Area: s06_54.raw (F38)"	"Area: syd_n01.raw (F39)"	"Area: syd_n03.raw (F40)"	"Area: syd_n12.raw (F41)"	"Area: syd_n23.raw (F42)"	"Area: syd_n34.raw (F43)"	"Area: syd_n36.raw (F44)"	"Area: syd_n49.raw (F45)"	"Area: syd_n52.raw (F46)"	"Area: syd_n55.raw (F47)"	"Area: syd_o05.raw (F48)"	"Area: syd_o11.raw (F49)"	"Area: syd_o15.raw (F50)"	"Area: syd_o21.raw (F51)"	"Area: syd_o22.raw (F52)"	"Area: syd_o29.raw (F53)"	"Area: syd_o45.raw (F54)"	"Area: syd_o58.raw (F55)"
"False"	"Cer(m36:1+O)"	"C36 H71 N O3"	"Full match"	"Full match"	"565.54239"	"13.838"	"1590335.75536518"	"Multiple matches found"	"405366.96451715"	"224925.579048737"	"99760.1156419138"	"255726.949482764"	"718023.311294091"	"150197.379989493"	"80923.00987605"	"284838.604245955"	"226190.071586211"	"138095.485474963"	"174317.019935668"	"131110.450456042"	"139907.508408539"	"202374.507573465"	""	"116670.436645945"	"218094.466660656"	"277697.415733537"	"312683.409645352"	""	"423225.480549963"	"188687.785721406"	"406848.032481565"	"141592.001283628"	"196576.221512138"	"190541.827459638"	"714353.651425126"	"241544.17973832"	"168170.224407358"	"586325.830988884"	"300385.598228737"	"365774.519060572"	"246936.948934256"	"215476.463351954"	"53788.2685015552"	"1590335.75536518"	""	"453807.414439503"	""	""	"929751.464126733"	""	"262583.750216112"	"243474.407571901"	"298395.932893077"	"558785.220321133"	"92397.3737716812"	"140333.533693004"	"212546.305581786"	"125993.999561482"	"137662.96324726"	"308435.129607417"	"119162.023098782"	"202539.890400673"	"177906.570328112"
"False"	"Cer(t16:1_21:0+O)"	"C37 H73 N O5"	"Not the top hit"	"Full match"	"611.54876"	"13.853"	"662763.073536267"	"Single match found"	""	""	""	""	""	""	""	"96287.5509764763"	""	""	""	""	""	""	""	""	"114087.170645482"	""	""	"80565.4025417724"	"182790.707443737"	""	"183663.325257093"	""	""	""	""	""	""	"287092.737198126"	""	""	""	""	""	"662763.073536267"	""	"188294.240673268"	""	""	"344371.810175829"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"Cer(t20:1_15:0+O)"	"C35 H69 N O5"	"Full match"	"Full match"	"583.51730"	"11.521"	"666804.12710239"	"Single match found"	"250094.056723793"	"207866.234165059"	"110386.196929208"	"211514.66810203"	"550276.845608694"	"124931.598797828"	""	"149974.529945937"	"151063.875526658"	"259908.86330477"	"230046.956888879"	"271009.649454588"	"183525.774529417"	"122567.520258602"	""	"125767.922097892"	"190745.35556977"	"133787.264935258"	"293310.037291624"	"109676.765106414"	"127699.476794257"	"297755.92377388"	"348770.834172375"	"199037.110516877"	"179998.802594355"	"298767.568217656"	"666804.12710239"	"475397.380848162"	"216650.51459966"	"303964.511603702"	"231981.417100881"	"253715.15203697"	"360955.688235459"	"349326.406291443"	""	"508993.629201491"	"290194.960076577"	"265088.461647122"	"175526.865321847"	"200971.734473124"	"206873.034646002"	"245303.773369331"	"200231.673926091"	"180341.481103785"	"587357.383436375"	"193873.346325374"	""	"236551.758302568"	"387735.731399353"	"209366.745531665"	"165382.374490968"	"373970.236577073"	"148989.76792445"	"224934.625624989"	"232429.78329056"
"False"	"CerPE(d35:7)"	"C37 H63 N2 O6 P"	"Not the top hit"	"Full match"	"662.44531"	"10.862"	"4821845.02286472"	"Single match found"	""	""	""	""	"4821845.02286472"	"1232793.0125594"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2870987.44306835"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1449965.11328332"	""	""	""	""	""	""	""	""	""	""
"False"	"CerPE(d36:2)"	"C38 H75 N2 O6 P"	"Not the top hit"	"Full match"	"686.53537"	"11.077"	"17978532.980231"	"Single match found"	"6541044.06039425"	"5946746.58588158"	"3279600.2845787"	"8209424.35634789"	"17978532.980231"	"6097061.19527973"	"2950578.7940048"	"6426009.87102377"	"6005091.20353048"	"8468127.10075126"	"8981892.29092376"	"7567493.23928615"	"6947821.72892675"	"5604095.49121657"	"854816.157248281"	"4462449.72703322"	"9546499.74330447"	"7333921.31980057"	"8333111.74208131"	"3605373.05998958"	"4706014.4353075"	"6319395.62902165"	"5773712.4821204"	"3718585.53034379"	"5575428.98135501"	"7767818.69402064"	"17270817.5658367"	"7431249.32250839"	"9398488.26161826"	"8285334.17466884"	"9130365.96375115"	"8447196.27077336"	"12062418.7162509"	"13833142.1672674"	"3985273.84586783"	"9771100.63279775"	"9651071.58367686"	"8984694.22670608"	"7245927.14620055"	"6719537.86504665"	"6581658.3600031"	"9637468.93285527"	"5435687.71296614"	"6196497.57434827"	"14404041.7021378"	"8951636.0123063"	"5048923.00598805"	"6043124.38541633"	"11189530.6721893"	"6915842.12974444"	"7376031.84040284"	"10477687.4358027"	"6544152.10560917"	"4451923.71176417"	"7394061.50950367"
"False"	"CL(10:3_18:2_22:1_18:2)"	"C77 H134 O17 P2"	"No match"	"Full match"	"1392.90740"	"19.060"	"2020199.12206429"	"Multiple matches found"	"968453.545515909"	"213521.628491769"	"373858.862717777"	"1039971.83691233"	"1012195.36212329"	"141860.072040591"	"240083.77776869"	"262492.304696534"	"154084.959685708"	"908816.06313164"	"898043.633181874"	"1742348.41086959"	"553237.215217091"	"143596.24177079"	"11282.9202715614"	"665014.506972804"	"85691.3779364017"	"125122.33135811"	"111232.077427264"	"2020199.12206429"	"1012369.45813205"	"1011698.20234926"	"1265697.23088615"	"709790.234544461"	"649800.329384451"	"1280374.79623898"	"1087346.85300428"	"314135.042472694"	"899203.143062502"	"635512.775805964"	"751862.969353582"	"666418.377884191"	"588245.80483429"	"1729194.33386647"	"286618.130151341"	"1920176.24040118"	"855520.290722444"	"688157.979755111"	"784256.422093443"	"366940.817288784"	"1120213.7519636"	"218731.776815142"	"66573.4133847044"	"690807.383005252"	"403009.442969409"	"557969.230137479"	"201776.843965947"	"952996.246049008"	"128946.000264898"	"1165070.56261699"	"629451.776594397"	"656358.723227243"	"647847.044983451"	"587954.344719651"	"401608.555956422"
"False"	"CL(12:3_22:6_22:3_18:2)"	"C83 H134 O17 P2"	"No match"	"Full match"	"1464.90551"	"18.040"	"1109872.52241291"	"Multiple matches found"	"78714.3736777377"	"386913.65633449"	"67309.8586822629"	"142196.033209252"	"420070.806813997"	"1109872.52241291"	"261270.995336873"	"484381.158130055"	"453337.522206495"	"170257.560083568"	"185029.493808304"	""	"267589.558478792"	"324723.191907166"	"74973.2747835024"	"48005.1741563428"	"827883.293036051"	"472198.412936474"	"426017.126756984"	"41653.936369349"	""	"51863.0242595605"	"50798.4406800432"	"49458.2756942964"	"345000.818925941"	"66821.0309445593"	"371034.7137509"	"258682.403484192"	"202146.869211085"	"182628.012854747"	"159363.784029809"	"287400.794694267"	"532772.790992059"	"24787.6511757352"	"21889.2475549067"	"28128.6163297328"	"77812.1507513958"	"124178.557905783"	"118946.451039391"	"392522.058711402"	""	"627007.938914961"	"513572.100639836"	"69167.4866359762"	"210932.498526908"	"366402.653064576"	"114937.744935299"	"132892.837120197"	"728510.157337168"	"146939.164347776"	"162050.301172531"	"278276.443954384"	"96151.9452697326"	"70111.6460773486"	"236591.643268796"
"False"	"CL(14:3_22:5_18:2_18:2)"	"C81 H134 O17 P2"	"No match"	"Full match"	"1440.90779"	"18.398"	"1051616.43798991"	"Multiple matches found"	"359775.771624396"	"572038.676336272"	"218939.153520298"	"315331.635200289"	"807064.590488573"	"599044.692441932"	"245386.188019949"	"613689.937335409"	"658391.946553049"	"412308.597552929"	"395651.93052683"	"78635.9242645788"	"579775.276584184"	"608536.055489052"	"86631.9616088813"	"269168.649395961"	"739063.529616632"	"671683.217693918"	"652533.388125403"	"388759.892607725"	""	"280519.467175831"	"216916.085086761"	"135725.466139607"	"249923.67544984"	"185011.362573726"	"502758.34199147"	"524319.84373695"	"424463.196876956"	"366365.769625708"	"320647.290944761"	"506994.55168895"	"859106.782858675"	"196721.295445594"	"153817.234898703"	"132117.073373102"	"195622.895747393"	"264641.51975908"	"290850.719958124"	"661642.349783306"	"59425.7339777277"	"1051616.43798991"	"512625.344622634"	"182896.291912648"	"495044.593106975"	"666076.606313076"	"286028.860959859"	"313916.553950691"	"777703.283885741"	"231866.586748469"	"377230.141064113"	"517545.184227732"	"240146.353765475"	"447877.30399685"	"531761.036209652"
"False"	"CL(16:0_16:1_16:0_16:1)"	"C73 H138 O17 P2"	"Not the top hit"	"Full match"	"1348.93912"	"20.050"	"453295.213176489"	"Single match found"	"32884.9169461081"	"19522.1187620505"	""	"41520.1723441508"	""	""	"73098.395834663"	"21427.0863054206"	"88263.9247571985"	""	"19864.7682674194"	"412522.637917393"	"37319.7302992988"	"37212.8085432533"	""	"22282.5394365768"	"63032.934055671"	"112335.723515176"	"27899.4613052863"	"20793.3747836717"	"264396.852450551"	"33412.8101109765"	"62998.1872566898"	"31344.1333435268"	""	"36114.7823641283"	"41522.696460709"	"33593.0744419711"	"320173.238060046"	"40252.0767188067"	"16534.9201608894"	"37679.1979894437"	"409237.865879246"	"358364.183271699"	"35411.0130371384"	"41865.1292556482"	"106749.262997074"	"53423.7012851172"	"24390.0103470877"	"43936.1722964889"	"64152.7891998733"	"453295.213176489"	"16141.6308292726"	"47471.4800982888"	"35988.8842286605"	"68224.5883147235"	""	"30870.6309575527"	"25567.6154242794"	"23688.9880172833"	"45498.2838476962"	"65291.1188009234"	"44562.3662080234"	"29555.812779811"	"21986.3888952273"
"False"	"CL(16:1_16:1_16:1_14:1)"	"C71 H130 O17 P2"	"Not the top hit"	"Full match"	"1316.87632"	"18.300"	"1332237.86198715"	"Single match found"	"330940.113907998"	"43667.2761537584"	"28559.9293480605"	"391067.339084036"	"279267.035904255"	"268848.052627096"	"243430.177506533"	"189277.306609177"	"253879.937233395"	"624212.731801212"	"407973.583149025"	"387708.342139004"	"154549.044738374"	"204071.013561831"	""	"549438.880169124"	"23451.9865553882"	"49874.2712564592"	"40628.7048288453"	"245537.098070371"	"1332237.86198715"	"347415.680638226"	"212503.907240464"	"81783.7713607381"	"54475.8888273996"	"270198.268524642"	"510316.647019927"	"44251.6714082037"	"266854.486001388"	"320556.362194218"	"269626.941046864"	"650662.121765337"	"582289.20342056"	"614357.29476957"	"42769.0693356427"	"1135013.54290647"	"400735.61673409"	"378397.241557486"	"219519.021729838"	"167659.72087487"	"151119.480782513"	"362892.439476638"	"23614.8373536141"	"357790.505505771"	"33604.4935526926"	"378003.133932155"	"57895.0430944413"	"314443.364054803"	"56035.7989448315"	"238418.676684544"	"51877.4261554433"	"224697.076803071"	"56160.3897883243"	"36211.7944827132"	""
