Name,Formula
CL(18:3_18:2_16:1_20:4),C81 H138 O17 P2
CL(18:3_18:2_18:2_16:1),C79 H138 O17 P2
CL(18:3_18:2_18:2_18:2),C81 H140 O17 P2
CL(18:3_20:3_14:1_16:1),C77 H134 O17 P2
CL(18:3_22:4_12:0_16:1),C77 H134 O17 P2
CL(18:3_22:5_14:1_16:1),C79 H134 O17 P2
CL(18:3_22:6_14:0_16:1),C79 H134 O17 P2
CL(18:4_16:1_16:1_16:1),C75 H132 O17 P2
CL(18:4_16:1_16:1_18:2),C77 H134 O17 P2
CL(18:4_18:1_16:1_16:1),C77 H136 O17 P2
CL(18:4_18:2_14:1_22:5),C81 H134 O17 P2
CL(18:4_18:2_16:1_18:2),C79 H136 O17 P2
CL(18:4_18:2_16:1_22:6),C83 H136 O17 P2
CL(18:4_18:2_18:2_18:2),C81 H138 O17 P2
CL(18:4_20:4_16:1_18:2),C81 H136 O17 P2
CL(18:4_20:4_18:2_16:1),C81 H136 O17 P2
CL(18:4_20:4_18:2_18:2),C83 H138 O17 P2
CL(19:0_18:1_15:0_18:1),C79 H150 O17 P2
CL(20:5_16:1_16:1_16:1),C77 H134 O17 P2
CL(20:5_16:1_16:1_18:2),C79 H136 O17 P2
CL(20:5_18:2_14:0_18:2),C79 H136 O17 P2
CL(22:6_14:1_16:1_16:1),C77 H132 O17 P2
CL(22:6_14:1_16:1_18:2),C79 H134 O17 P2
CL(64:4),C73 H134 O17 P2
CL(64:5),C73 H132 O17 P2
CL(66:0),C75 H146 O17 P2
CL(66:1),C75 H144 O17 P2
CL(66:2),C75 H142 O17 P2
CL(66:3),C75 H140 O17 P2
CL(66:4),C75 H138 O17 P2
CL(66:5),C75 H136 O17 P2
CL(67:3),C76 H142 O17 P2
CL(68:2),C77 H146 O17 P2
CL(70:0),C79 H154 O17 P2
CL(70:1),C79 H152 O17 P2
CL(70:3),C79 H148 O17 P2
CL(70:4),C79 H146 O17 P2
CL(70:5),C79 H144 O17 P2
CL(70:6),C79 H142 O17 P2
CL(70:7),C79 H140 O17 P2
CL(72:10),C81 H138 O17 P2
CL(72:11),C81 H136 O17 P2
CL(72:12),C81 H134 O17 P2
CL(72:13),C81 H132 O17 P2
CL(72:2),C81 H154 O17 P2
CL(72:4),C81 H150 O17 P2
CL(72:6),C81 H146 O17 P2
CL(74:1),C83 H160 O17 P2
CL(74:11),C83 H140 O17 P2
CL(74:13),C83 H136 O17 P2
CL(74:14),C83 H134 O17 P2
CL(74:15),C83 H132 O17 P2
CL(74:2),C83 H158 O17 P2
CL(74:3),C83 H156 O17 P2
CL(74:4),C83 H154 O17 P2
CL(74:5),C83 H152 O17 P2
CL(74:6),C83 H150 O17 P2
CL(74:7),C83 H148 O17 P2
CL(78:1),C87 H168 O17 P2
DG(10:0e_10:4),C23 H38 O4
DG(10:0e_12:4),C25 H42 O4
DG(12:0e_10:4),C25 H42 O4
DG(12:0e_22:3),C37 H68 O4
DG(12:1e_10:4),C25 H40 O4
DG(12:1e_20:3),C35 H62 O4
DG(14:0e),C17 H34 O4
DG(16:0_16:1),C35 H66 O5
DG(16:0_18:1),C37 H70 O5
DG(16:0_18:2),C37 H68 O5
DG(16:0_18:3),C37 H66 O5
DG(16:0_20:4),C39 H68 O5
DG(16:0_20:5),C39 H66 O5
DG(16:1),C19 H34 O5
DG(16:1_16:0),C35 H66 O5
DG(16:1_16:1),C35 H64 O5
DG(16:1_18:1),C37 H68 O5
DG(16:1_18:2),C37 H66 O5
DG(16:2),C19 H32 O5
DG(18:0_18:1),C39 H74 O5
DG(18:0_18:2),C39 H72 O5
DG(18:0_18:3),C39 H70 O5
DG(18:0e),C21 H42 O4
DG(18:1_16:0),C37 H70 O5
DG(18:1_18:1),C39 H72 O5
DG(18:1_18:2),C39 H70 O5
DG(18:1_18:3),C39 H68 O5
DG(18:1_20:4),C41 H70 O5
DG(18:1_20:5),C41 H68 O5
DG(18:1_24:2),C45 H82 O5
DG(18:2),C21 H36 O5
DG(18:2_16:0),C37 H68 O5
DG(18:2_18:2),C39 H68 O5
DG(18:2e),C21 H38 O4
DG(18:3_16:0),C37 H66 O5
DG(18:3_18:2),C39 H66 O5
DG(18:3e),C21 H36 O4
DG(18:4_16:0),C37 H64 O5
DG(18:4_16:1),C37 H62 O5
DG(19:1_22:6),C44 H72 O5
DG(19:2e),C22 H40 O4
DG(20:0e),C23 H46 O4
DG(20:2),C23 H40 O5
DG(20:2e),C23 H42 O4
DG(20:5e),C23 H36 O4
DG(22:3e),C25 H44 O4
DG(22:4e),C25 H42 O4
DG(22:5e),C25 H40 O4
DG(22:6_22:6),C47 H68 O5
DG(23:2e),C26 H48 O4
DG(29:1_11:2),C43 H78 O5
DG(30:0e),C33 H66 O4
DG(30:1e),C33 H64 O4
DG(30:3),C33 H58 O5
DG(32:0e),C35 H70 O4
DG(32:1e),C35 H68 O4
DG(32:2e),C35 H66 O4
DG(32:3e),C35 H64 O4
DG(33:0_16:0),C52 H102 O5
DG(34:2e),C37 H70 O4
DG(34:3e),C37 H68 O4
DG(34:4),C37 H64 O5
DG(34:4e),C37 H66 O4
DG(34:5e),C37 H64 O4
DG(36:3e),C39 H72 O4
DG(36:5e),C39 H68 O4
DG(36:6e),C39 H66 O4
DG(4:0_14:1),C21 H38 O5
DG(4:0_14:4),C21 H32 O5
DG(4:0_16:1),C23 H42 O5
DG(4:0_18:1),C25 H46 O5
DG(42:3),C45 H82 O5
DG(6:0_10:0),C19 H36 O5
DG(6:0_10:1),C19 H34 O5
DG(8:0_11:4),C22 H34 O5
DG(8:0_12:2),C23 H40 O5
DG(8:0_8:0),C19 H36 O5
DG(8:0e_10:3),C21 H36 O4
DG(8:0e_10:4),C21 H34 O4
DG(8:0e_24:2),C35 H66 O4
DG(8:0e_6:0),C17 H34 O4
FA(18:3),O2 H30 C18
LPC(12:0),C20 H42 O7 N1 P1
LPC(14:0),C22 H46 O7 N1 P1
LPC(14:0e),C22 H48 O6 N1 P1
LPC(14:1),C22 H44 O7 N1 P1
LPC(16:0),C24 H50 O7 N1 P1
LPC(16:1),C24 H48 O7 N1 P1
LPC(16:2),C24 H46 O7 N1 P1
LPC(16:3),C24 H44 O7 N1 P1
LPC(17:0),C25 H52 O7 N1 P1
LPC(17:1),C25 H50 O7 N1 P1
LPC(18:0),C26 H54 O7 N1 P1
LPC(18:1),C26 H52 O7 N1 P1
LPC(18:2),C26 H50 O7 N1 P1
LPC(18:3),C26 H48 O7 N1 P1
LPC(18:4),C26 H46 O7 N1 P1
LPC(20:0),C28 H58 O7 N1 P1
LPC(20:1),C28 H56 O7 N1 P1
LPC(20:4),C28 H50 O7 N1 P1
LPC(20:5),C28 H48 O7 N1 P1
LPC(22:5),C30 H52 O7 N1 P1
LPC(35:1),C43 H86 O7 N1 P1
LPC(37:0),C45 H92 O7 N1 P1
PA(18:1_18:1),C39 H73 O8 N0 P1
PA(21:1e),C24 H47 O7 N0 P1
PA(33:2),C36 H67 O8 N0 P1
PA(35:1),C38 H73 O8 N0 P1
PA(35:2),C38 H71 O8 N0 P1
PA(36:0_22:0),C61 H121 O8 N0 P1
PA(38:3),C41 H75 O8 N0 P1
PA(39:3),C42 H77 O8 N0 P1
PA(40:0e),C43 H87 O7 N0 P1
PA(41:2),C44 H83 O8 N0 P1
PA(43:2),C46 H87 O8 N0 P1
PA(58:0),C61 H121 O8 N0 P1
PA(60:0),C63 H125 O8 N0 P1
PC(10:0e_6:0),C24 H50 O7 N1 P1
PC(10:1e_8:0),C26 H52 O7 N1 P1
PC(11:0_23:1),C42 H82 O8 N1 P1
PC(12:0_22:1),C42 H82 O8 N1 P1
