CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
CL(16:1_16:1_16:1_16:1),XIC,C73 H134 O17 P2,ESI,1343.9023545300001,H-Loss,-,1,18.959795186823,,
CL(18:1_16:1_16:1_16:1),XIC,C75 H138 O17 P2,ESI,1371.93365453,H-Loss,-,1,19.57688778309694,,
CL(16:1_16:1_16:1_18:2),XIC,C75 H136 O17 P2,ESI,1369.9180045300002,H-Loss,-,1,19.0719921359772,,
CL(18:3_16:1_16:1_16:1),XIC,C75 H134 O17 P2,ESI,1367.9023545300001,H-Loss,-,1,18.626424276943307,,
CL(18:4_16:1_16:1_16:1),XIC,C75 H132 O17 P2,ESI,1365.88670453,H-Loss,-,1,18.971463410798798,,
CL(18:2_16:0_16:0_18:2),XIC,C77 H142 O17 P2,ESI,1399.96495453,H-Loss,-,1,20.206794008335287,,
CL(18:1_16:1_16:1_18:2),XIC,C77 H140 O17 P2,ESI,1397.94930453,H-Loss,-,1,19.691249859823156,,
CL(18:3_16:0_16:0_18:2),XIC,C77 H140 O17 P2,ESI,1397.94930453,H-Loss,-,1,19.87780598296846,,
CL(18:2_16:1_16:1_18:2),XIC,C77 H138 O17 P2,ESI,1395.93365453,H-Loss,-,1,19.193478849712875,,
CL(18:3_16:0_16:1_18:2),XIC,C77 H138 O17 P2,ESI,1395.93365453,H-Loss,-,1,19.54444143034521,,
CL(18:3_16:1_16:1_18:2),XIC,C77 H136 O17 P2,ESI,1393.9180045300002,H-Loss,-,1,18.745925889461216,,
CL(18:3_22:4_12:0_16:1),XIC,C77 H134 O17 P2,ESI,1391.9023545300001,H-Loss,-,1,18.291889430790288,,
CL(10:3_18:2_22:1_18:2),XIC,C77 H134 O17 P2,ESI,1391.9023545300001,H-Loss,-,1,19.117,,
CL(18:3_22:5_14:1_16:1),XIC,C79 H134 O17 P2,ESI,1415.9023545300001,H-Loss,-,1,17.898020286188423,,
CL(22:6_14:1_16:1_18:2),XIC,C79 H134 O17 P2,ESI,1415.9023545300001,H-Loss,-,1,18.758,,
CL(18:2_16:1_18:1_18:1),XIC,C79 H144 O17 P2,ESI,1425.9806045300002,H-Loss,-,1,20.21115114763725,,
CL(18:1_16:1_18:2_18:2),XIC,C79 H142 O17 P2,ESI,1423.96495453,H-Loss,-,1,19.804247028794034,,
CL(18:2_16:0_18:2_18:2),XIC,C79 H142 O17 P2,ESI,1423.96495453,H-Loss,-,1,19.92614710635653,,
CL(18:2_16:1_18:2_18:2),XIC,C79 H140 O17 P2,ESI,1421.94930453,H-Loss,-,1,19.335845113225265,,
CL(18:3_16:0_18:2_18:2),XIC,C79 H140 O17 P2,ESI,1421.94930453,H-Loss,-,1,19.49881629178434,,
