"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n182.raw (F1)"	"Area: cbr_n190.raw (F2)"	"Area: cbr_n193.raw (F3)"	"Area: cbr_n204.raw (F4)"	"Area: cbr_n216.raw (F5)"	"Area: cbr_n228.raw (F6)"	"Area: cbr_o180.raw (F7)"	"Area: cbr_o188.raw (F8)"	"Area: cbr_o189.raw (F9)"	"Area: cbr_o196.raw (F10)"	"Area: cbr_o198.raw (F11)"	"Area: cbr_o199.raw (F12)"	"Area: cbr_o213.raw (F13)"	"Area: cbr_o220.raw (F14)"	"Area: cbr_o229.raw (F15)"	"Area: ct_n179.raw (F16)"	"Area: ct_n185.raw (F17)"	"Area: ct_n191.raw (F18)"	"Area: ct_n203.raw (F19)"	"Area: ct_n205.raw (F20)"	"Area: ct_n211.raw (F21)"	"Area: ct_n218.raw (F22)"	"Area: ct_n223.raw (F23)"	"Area: ct_n224.raw (F24)"	"Area: ct_o175.raw (F25)"	"Area: ct_o184.raw (F26)"	"Area: ct_o192.raw (F27)"	"Area: ct_o206.raw (F28)"	"Area: ct_o207.raw (F29)"	"Area: ct_o209.raw (F30)"	"Area: ct_o219.raw (F31)"	"Area: ct_o222.raw (F32)"	"Area: ct_o225.raw (F33)"	"Area: s06_174.raw (F34)"	"Area: s06_181.raw (F35)"	"Area: s06_186.raw (F36)"	"Area: s06_197.raw (F37)"	"Area: s06_208.raw (F38)"	"Area: s06_210.raw (F39)"	"Area: s06_217.raw (F40)"	"Area: s06_227.raw (F41)"	"Area: syd_n176.raw (F42)"	"Area: syd_n183.raw (F43)"	"Area: syd_n194.raw (F44)"	"Area: syd_n202.raw (F45)"	"Area: syd_n212.raw (F46)"	"Area: syd_o177.raw (F47)"	"Area: syd_o178.raw (F48)"	"Area: syd_o187.raw (F49)"	"Area: syd_o195.raw (F50)"	"Area: syd_o200.raw (F51)"	"Area: syd_o201.raw (F52)"	"Area: syd_o215.raw (F53)"	"Area: syd_o221.raw (F54)"	"Area: syd_o226.raw (F55)"
"False"	"TG(18:1_18:2_20:0)"	"C59 H111 N O6"	"Not the top hit"	"Full match"	"929.84237"	"21.372"	"3905232.27632047"	"Multiple matches found"	""	""	""	""	"3905232.27632047"	"751706.020954252"	""	""	""	""	""	""	"3230823.2315791"	"2141749.89639615"	""	""	""	"173501.882726109"	""	""	""	""	"1535170.38363372"	""	""	""	""	""	""	""	"2481979.40379661"	"1497545.1206366"	"1637211.70637917"	""	""	""	""	"347834.794224882"	""	"2281743.8904749"	"422257.760869248"	""	""	""	""	"3071600.69128761"	""	""	""	""	""	""	"2905129.98473688"	"1465531.98260644"	""
"False"	"TG(18:2_18:2_20:0)"	"C59 H109 N O6"	"Full match"	"Full match"	"927.82670"	"21.187"	"3887884.88264266"	"Multiple matches found"	""	""	""	""	"3172572.70049005"	"2479252.09843796"	""	""	"754408.051084549"	""	""	""	"2717740.38803772"	"2207191.11403178"	"684749.205235449"	""	""	""	""	""	""	"2561793.38913642"	"890021.634118902"	"3887884.88264266"	""	""	""	""	""	""	"609386.020922292"	""	"1456881.95795422"	""	""	""	""	""	""	"895929.943995958"	"354344.399072849"	""	""	""	""	"2916404.41589832"	""	""	""	""	""	""	"1923787.24104769"	"578516.499532685"	""
"False"	"TG(16:0_16:1_14:0)"	"C49 H95 N O6"	"No match"	"Full match"	"793.71718"	"21.286"	"3841235.10348849"	"Single match found"	"1297738.25980377"	""	"1266475.88385003"	"1104624.36844136"	""	""	""	""	"1022496.41118986"	"2753353.74147539"	"1956734.74623512"	""	""	""	"193972.695768983"	""	"2059487.7347567"	""	"1083098.80066338"	""	""	""	""	""	""	""	"1273835.77487382"	""	"1721623.34798776"	""	""	""	""	"3841235.10348849"	"1079263.02849783"	"607854.383810141"	"1275416.44264288"	"1081126.91380788"	"1326807.38940406"	""	""	""	""	""	""	""	"3551463.90422923"	"1993290.76446006"	""	""	""	"768986.791452392"	""	""	""
"False"	"TG(16:1_18:2_16:0)"	"C53 H99 N O6"	"No results"	"Full match"	"845.74890"	"21.587"	"3783478.91632928"	"Single match found"	""	""	""	""	""	""	""	""	""	""	"989756.50364426"	""	""	"3783478.91632928"	""	""	""	""	"3168016.40450333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(4:0_16:0_17:1)"	"C40 H77 N O6"	"Not the top hit"	"Full match"	"667.57633"	"17.055"	"3769504.68200697"	"Multiple matches found"	"944281.340766861"	"1003228.2579651"	"1195372.0439869"	"450633.565413229"	"595701.35091537"	"215963.713709116"	"963218.452515136"	"973255.360950695"	"1065903.29578189"	"3769504.68200697"	"1641699.37556072"	"673208.079166051"	"986316.190493866"	"3391829.94050106"	"1692428.03317745"	"250182.745752865"	"827584.799298643"	"759156.660087108"	"503814.660624862"	"857606.753190173"	"1504944.32872077"	"790585.357599376"	"342424.091765843"	"179406.740569194"	"132256.527347206"	"824777.539478164"	"354094.722257119"	"783673.622710257"	"1995341.95048909"	"106626.722737823"	"1424922.50509048"	"74922.4932603423"	"501901.117312353"	"1497803.60309865"	"1088850.92547471"	"522078.531710398"	"1697058.32979011"	"1237202.31737058"	"1813587.95433676"	"1134211.34403072"	"2081250.14075776"	"826606.201010252"	"607364.787842291"	"2142190.44384439"	"2628609.74344573"	"1097888.29220176"	"1626696.22328477"	"1965080.39091132"	"2180855.12095748"	"700205.212798826"	"1386148.38572801"	"801691.933600931"	"202860.453202164"	"1120724.32270079"	"711632.94056262"
"False"	"TG(12:0_12:0_12:0)"	"C39 H77 N O6"	"Not the top hit"	"Full match"	"655.57579"	"17.023"	"3700351.88122594"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3700351.88122594"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(26:0_18:1_18:1)"	"C65 H125 N O6"	"Full match"	"Full match"	"1015.95255"	"22.743"	"3669426.41749224"	"Multiple matches found"	"1222123.47699736"	"1154589.01241652"	"1216652.47781466"	"612249.874508849"	"871729.147577084"	"569313.53816341"	"1504160.75721135"	"2362027.05177656"	"1685000.56499769"	"1533245.17080657"	"1269058.39937139"	"869410.145668311"	"944581.217816958"	"1766187.29058369"	"1375060.70949909"	"1666589.93030684"	"1533601.67236773"	"1624898.81506451"	"761126.384002379"	"914921.986965894"	"1376473.63104914"	"1338712.89444052"	"499870.819963544"	"571250.757028676"	"1876021.68541398"	"1290368.65170171"	"3669426.41749224"	"1219034.89334325"	"747393.970035666"	"997621.631261263"	"986806.002109548"	"642258.030113323"	"632821.467122614"	"2807564.53889222"	"2049464.51506492"	"1144947.17970698"	"1216255.19443396"	"1495749.24762927"	"1463278.63185052"	"603246.841432604"	"1554201.73372375"	"1153117.36028806"	"810080.146349366"	"1194576.77828649"	"804864.362159806"	"868622.722687313"	"2631093.94588788"	"1488560.19238919"	"1786342.56880515"	"1183877.48787291"	"2010580.91627195"	"1411281.08239269"	"983172.005161049"	"903352.952911424"	"1421020.74076251"
"False"	"TG(16:1_18:1_18:3)"	"C55 H99 N O6"	"No results"	"Full match"	"869.74421"	"19.729"	"3580302.37406846"	"Single match found"	""	""	""	""	""	""	"3580302.37406846"	""	""	"161686.85674643"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"47525.8403274112"	""	""	""	""	"25088.3989139402"	"1189415.47814733"	""	""	""	""	""	""	""	""	"2991306.79547094"	""	""	""	""	"39145.6115184431"	""	""	""	""	""	""	""	""	""	""
"False"	"TG(16:0_10:0_16:1)"	"C45 H87 N O6"	"Not the top hit"	"Full match"	"737.65481"	"19.831"	"3553957.42943484"	"Multiple matches found"	""	""	""	""	""	""	""	""	"1825572.78314849"	""	""	""	""	""	""	""	""	""	""	""	""	""	"940341.496232578"	""	""	""	""	""	""	"1580030.36288248"	""	"2027696.8873288"	""	""	""	""	""	""	"2483239.67545358"	""	""	""	""	""	"3553957.42943484"	""	""	""	""	""	""	""	"1324344.43498779"	""	""
"False"	"TG(11:0_8:0_19:0)"	"C41 H81 N O6"	"No results"	"Full match"	"683.60771"	"18.301"	"3551240.56829341"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3551240.56829341"	""	""	""	""	""	""	""	"53715.7437356608"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
