CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
CL(16:1_16:1_16:1_14:1),XIC,C71 H130 O17 P2,ESI,1315.8710545300003,H-Loss,-,1,18.162,,
CL(16:0_16:1_16:0_16:1),XIC,C73 H138 O17 P2,ESI,1347.9336545300002,H-Loss,-,1,19.94,,
CL(16:1_16:1_16:1_16:1),XIC,C73 H134 O17 P2,ESI,1343.9023545300001,H-Loss,-,1,18.81296373052875,,
CL(16:1_16:1_16:1_16:1),XIC,C73 H134 O17 P2,ESI,1345.9169074699998,H-Gain,+,1,18.81296373052875,,
CL(16:1_16:1_16:1_16:1),XIC,C73 H134 O17 P2,ESI,1367.8988524699998,Na-Gain,+,1,18.81296373052875,,
CL(16:1_16:1_16:1_16:1),XIC,C73 H134 O17 P2,ESI,1343.9023545300001,H-Loss,-,1,19.263478115376433,,
CL(16:1_16:1_16:1_16:1),XIC,C73 H134 O17 P2,ESI,1343.9023545300001,H-Loss,-,1,19.368,,
CL(64:4),XIC,C73 H134 O17 P2,ESI,1343.9023545300001,H-Loss,-,1,26.787,,
CL(64:5),XIC,C73 H132 O17 P2,ESI,1341.8867045300003,H-Loss,-,1,18.297,,
CL(66:0),XIC,C75 H146 O17 P2,ESI,689.4944890299998,2H-Loss,-,2,9.456,,
CL(66:1),XIC,C75 H144 O17 P2,ESI,1379.9951574699999,H-Gain,+,1,9.48807506529656,,
CL(66:2),XIC,C75 H142 O17 P2,ESI,687.4788390299999,2H-Loss,-,2,7.806419226884047,,
CL(66:2),XIC,C75 H142 O17 P2,ESI,1375.96495453,H-Loss,-,1,20.364,,
CL(66:3),XIC,C75 H140 O17 P2,ESI,1375.9638574699998,H-Gain,+,1,7.446,,
CL(66:3),XIC,C75 H140 O17 P2,ESI,1375.9638574699998,H-Gain,+,1,7.800569878509778,,
CL(18:1_16:1_16:1_16:1),XIC,C75 H138 O17 P2,ESI,1371.93365453,H-Loss,-,1,19.450305564497583,,
CL(18:1_16:1_16:1_16:1),XIC,C75 H138 O17 P2,ESI,1373.9482074699997,H-Gain,+,1,19.450305564497583,,
CL(66:4),XIC,C75 H138 O17 P2,ESI,1371.93365453,H-Loss,-,1,19.846,,
CL(18:2_16:1_16:1_16:1),XIC,C75 H136 O17 P2,ESI,1369.9180045300002,H-Loss,-,1,18.9359347608849,,
CL(18:2_16:1_16:1_16:1),XIC,C75 H136 O17 P2,ESI,1371.93255747,H-Gain,+,1,18.9359347608849,,
CL(18:2_16:1_16:1_16:1),XIC,C75 H136 O17 P2,ESI,1369.9180045300002,H-Loss,-,1,19.342861017387513,,
CL(18:2_16:1_16:1_16:1),XIC,C75 H136 O17 P2,ESI,1369.9180045300002,H-Loss,-,1,19.498822622012874,,
CL(18:2_16:1_16:1_16:1),XIC,C75 H136 O17 P2,ESI,1369.9180045300002,H-Loss,-,1,19.776,,
CL(66:5),XIC,C75 H136 O17 P2,ESI,1369.9180045300002,H-Loss,-,1,26.767,,
CL(18:3_16:1_16:1_16:1),XIC,C75 H134 O17 P2,ESI,1367.9023545300001,H-Loss,-,1,18.47696782853238,,
CL(18:3_16:1_16:1_16:1),XIC,C75 H134 O17 P2,ESI,1369.9169074699998,H-Gain,+,1,18.47696782853238,,
CL(18:3_16:1_16:1_16:1),XIC,C75 H134 O17 P2,ESI,1367.9023545300001,H-Loss,-,1,18.82599052330994,,
CL(18:4_16:1_16:1_16:1),XIC,C75 H132 O17 P2,ESI,1365.88670453,H-Loss,-,1,18.81432205533116,,
CL(67:3),XIC,C76 H142 O17 P2,ESI,693.4788390299999,2H-Loss,-,2,1.851,,
CL(68:2),XIC,C77 H146 O17 P2,ESI,1406.0108074699997,H-Gain,+,1,9.283,,
CL(68:2),XIC,C77 H146 O17 P2,ESI,1406.0108074699997,H-Gain,+,1,9.58179665476601,,
CL(68:2),XIC,C77 H146 O17 P2,ESI,1406.0108074699997,H-Gain,+,1,9.682,,
CL(18:1_16:1_16:1_18:1),XIC,C77 H142 O17 P2,ESI,1399.96495453,H-Loss,-,1,19.994634114886416,,
CL(18:2_16:1_18:1_16:1),XIC,C77 H140 O17 P2,ESI,1397.94930453,H-Loss,-,1,19.558018231219755,,
CL(18:2_16:1_16:1_18:2),XIC,C77 H138 O17 P2,ESI,1395.93365453,H-Loss,-,1,19.061459413911955,,
CL(18:2_16:1_16:1_18:2),XIC,C77 H138 O17 P2,ESI,1397.9482074699997,H-Gain,+,1,19.061459413911955,,
CL(18:2_16:1_18:2_16:1),XIC,C77 H138 O17 P2,ESI,1395.93365453,H-Loss,-,1,19.442971481527913,,
CL(18:3_16:1_18:2_16:1),XIC,C77 H136 O17 P2,ESI,1393.9180045300002,H-Loss,-,1,18.605174970079116,,
CL(18:3_16:1_18:2_16:1),XIC,C77 H136 O17 P2,ESI,1395.93255747,H-Gain,+,1,18.605174970079116,,
CL(18:3_16:1_18:2_16:1),XIC,C77 H136 O17 P2,ESI,1393.9180045300002,H-Loss,-,1,18.939556734155847,,
CL(16:1_16:1_16:1_20:4),XIC,C77 H136 O17 P2,ESI,1393.9180045300002,H-Loss,-,1,19.456199164036093,,
CL(18:3_16:1_14:0_20:4),XIC,C77 H134 O17 P2,ESI,1391.9023545300001,H-Loss,-,1,18.117970121914095,,
CL(18:3_20:3_14:1_16:1),XIC,C77 H134 O17 P2,ESI,1391.9023545300001,H-Loss,-,1,18.475436282130726,,
CL(18:4_16:1_16:1_18:2),XIC,C77 H134 O17 P2,ESI,1391.9023545300001,H-Loss,-,1,18.938080418117778,,
CL(22:6_14:1_16:1_16:1),XIC,C77 H132 O17 P2,ESI,1389.88670453,H-Loss,-,1,18.468397512211357,,
CL(70:0),XIC,C79 H154 O17 P2,ESI,717.5257890299999,2H-Loss,-,2,11.618952116858722,,
CL(70:0),XIC,C79 H154 O17 P2,ESI,717.5257890299999,2H-Loss,-,2,11.749000525902867,,
CL(70:1),XIC,C79 H152 O17 P2,ESI,1436.0577574699998,H-Gain,+,1,11.374,,
CL(70:1),XIC,C79 H152 O17 P2,ESI,1436.0577574699998,H-Gain,+,1,11.60540796257055,,
CL(70:1),XIC,C79 H152 O17 P2,ESI,1436.0577574699998,H-Gain,+,1,11.723017484793582,,
CL(18:3_16:1_14:0_22:6),XIC,C79 H134 O17 P2,ESI,1415.9023545300001,H-Loss,-,1,17.726908899319152,,
CL(18:3_16:1_14:0_22:6),XIC,C79 H134 O17 P2,ESI,1415.9023545300001,H-Loss,-,1,18.598842418739885,,
CL(18:3_14:1_22:6_16:1),XIC,C79 H132 O17 P2,ESI,1413.88670453,H-Loss,-,1,18.104539212975084,,
CL(19:0_18:1_15:0_18:1),XIC,C79 H150 O17 P2,ESI,715.5101390299999,2H-Loss,-,2,9.60591801741492,,
CL(70:3),XIC,C79 H148 O17 P2,ESI,1432.0264574699997,H-Gain,+,1,9.307,,
CL(70:3),XIC,C79 H148 O17 P2,ESI,1432.0264574699997,H-Gain,+,1,9.615409946449978,,
CL(70:3),XIC,C79 H148 O17 P2,ESI,1432.0264574699997,H-Gain,+,1,9.757704056886253,,
CL(70:4),XIC,C79 H146 O17 P2,ESI,713.4944890299998,2H-Loss,-,2,8.133864958072067,,
CL(18:1_16:1_18:1_18:1),XIC,C79 H146 O17 P2,ESI,1427.99625453,H-Loss,-,1,20.418,,
CL(70:5),XIC,C79 H144 O17 P2,ESI,1427.9951574699999,H-Gain,+,1,8.155963656929396,,
CL(70:5),XIC,C79 H144 O17 P2,ESI,1427.9951574699999,H-Gain,+,1,8.595,,
CL(18:2_18:1_16:1_18:1),XIC,C79 H144 O17 P2,ESI,1425.9806045300002,H-Loss,-,1,20.069,,
CL(70:6),XIC,C79 H142 O17 P2,ESI,711.4788390299999,2H-Loss,-,2,7.094390069729983,,
CL(18:2_16:1_18:1_18:2),XIC,C79 H142 O17 P2,ESI,1423.96495453,H-Loss,-,1,19.662321176851105,,
CL(70:7),XIC,C79 H140 O17 P2,ESI,1423.9638574699998,H-Gain,+,1,7.090714839397242,,
CL(18:2_16:1_18:2_18:2),XIC,C79 H140 O17 P2,ESI,1421.94930453,H-Loss,-,1,19.20021828820847,,
CL(18:2_16:1_18:2_18:2),XIC,C79 H140 O17 P2,ESI,1421.94930453,H-Loss,-,1,19.541525071469444,,
CL(18:3_18:2_16:1_18:1),XIC,C79 H140 O17 P2,ESI,1421.94930453,H-Loss,-,1,19.989,,
CL(18:3_18:2_16:1_18:2),XIC,C79 H138 O17 P2,ESI,1419.93365453,H-Loss,-,1,18.734354185887906,,
CL(18:3_16:1_16:1_20:4),XIC,C79 H136 O17 P2,ESI,1417.9180045300002,H-Loss,-,1,18.25989589567757,,
CL(18:3_16:1_16:1_20:4),XIC,C79 H136 O17 P2,ESI,1417.9180045300002,H-Loss,-,1,18.620147268977767,,
CL(18:4_18:2_16:1_18:2),XIC,C79 H136 O17 P2,ESI,1417.9180045300002,H-Loss,-,1,19.06857583864943,,
CL(18:3_18:2_16:1_20:4),XIC,C81 H138 O17 P2,ESI,1443.93365453,H-Loss,-,1,18.398544234104325,,
CL(18:3_18:2_16:1_20:4),XIC,C81 H138 O17 P2,ESI,1445.9482074699997,H-Gain,+,1,18.398544234104325,,
CL(72:10),XIC,C81 H138 O17 P2,ESI,1443.93365453,H-Loss,-,1,18.752741955079838,,
CL(18:4_18:2_18:2_18:2),XIC,C81 H138 O17 P2,ESI,1443.93365453,H-Loss,-,1,19.193982022952362,,
CL(18:3_18:2_14:0_22:6),XIC,C81 H136 O17 P2,ESI,1441.9180045300002,H-Loss,-,1,17.8841941246725,,
CL(72:11),XIC,C81 H136 O17 P2,ESI,1441.9180045300002,H-Loss,-,1,18.253215616631223,,
CL(18:4_20:4_18:2_16:1),XIC,C81 H136 O17 P2,ESI,1441.9180045300002,H-Loss,-,1,18.73153274449609,,
CL(72:12),XIC,C81 H134 O17 P2,ESI,1439.9023545300001,H-Loss,-,1,17.299919890113788,,
CL(18:3_18:2_14:1_22:6),XIC,C81 H134 O17 P2,ESI,1439.9023545300001,H-Loss,-,1,18.24641649040468,,
CL(72:13),XIC,C81 H132 O17 P2,ESI,1437.88670453,H-Loss,-,1,17.693287342512363,,
CL(72:2),XIC,C81 H154 O17 P2,ESI,1462.07340747,H-Gain,+,1,11.489,,
CL(72:2),XIC,C81 H154 O17 P2,ESI,1462.07340747,H-Gain,+,1,11.721636303473172,,
CL(72:2),XIC,C81 H154 O17 P2,ESI,1462.07340747,H-Gain,+,1,11.859922775644462,,
CL(72:4),XIC,C81 H150 O17 P2,ESI,1458.0421074699998,H-Gain,+,1,9.721,,
CL(72:4),XIC,C81 H150 O17 P2,ESI,1458.0421074699998,H-Gain,+,1,9.988985546789316,,
CL(72:4),XIC,C81 H150 O17 P2,ESI,1458.0421074699998,H-Gain,+,1,10.099,,
CL(72:6),XIC,C81 H146 O17 P2,ESI,1454.0108074699997,H-Gain,+,1,8.695638006562074,,
