"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n62.raw (F1)"	"Area: cbr_n71.raw (F2)"	"Area: cbr_n86.raw (F3)"	"Area: cbr_n96.raw (F4)"	"Area: cbr_n102.raw (F5)"	"Area: cbr_n116.raw (F6)"	"Area: cbr_o64.raw (F7)"	"Area: cbr_o72.raw (F8)"	"Area: cbr_o81.raw (F9)"	"Area: cbr_o89.raw (F10)"	"Area: cbr_o93.raw (F11)"	"Area: cbr_o98.raw (F12)"	"Area: cbr_o107.raw (F13)"	"Area: ct_n61.raw (F14)"	"Area: ct_n67.raw (F15)"	"Area: ct_n75.raw (F16)"	"Area: ct_n83.raw (F17)"	"Area: ct_n90.raw (F18)"	"Area: ct_n103.raw (F19)"	"Area: ct_n114.raw (F20)"	"Area: ct_o63.raw (F21)"	"Area: ct_o70.raw (F22)"	"Area: ct_o73.raw (F23)"	"Area: ct_o82.raw (F24)"	"Area: ct_o91.raw (F25)"	"Area: ct_o105.raw (F26)"	"Area: ct_o117.raw (F27)"	"Area: ct-o115.raw (F28)"	"Area: s06_66.raw (F29)"	"Area: s06_77.raw (F30)"	"Area: s06_78.raw (F31)"	"Area: s06_84.raw (F32)"	"Area: s06_92.raw (F33)"	"Area: S06_95.raw (F34)"	"Area: s06_101.raw (F35)"	"Area: s06_109.raw (F36)"	"Area: syd_n65.raw (F37)"	"Area: syd_n69.raw (F38)"	"Area: syd_n74.raw (F39)"	"Area: syd_n80.raw (F40)"	"Area: syd_n85.raw (F41)"	"Area: syd_n87.raw (F42)"	"Area: syd_n97.raw (F43)"	"Area: syd_n99.raw (F44)"	"Area: syd_n100.raw (F45)"	"Area: syd_n104.raw (F46)"	"Area: syd_n110.raw (F47)"	"Area: syd_o76.raw (F48)"	"Area: syd_o79.raw (F49)"	"Area: syd_o94.raw (F50)"	"Area: syd_o106.raw (F51)"	"Area: syd-o112.raw (F52)"
"False"	"DG(18:3e)"	"C21 H39 N O4"	"Full match"	"Full match"	"369.28670"	"1.840"	"109854.841563892"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"109854.841563892"	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"DG(18:0_18:3)"	"C39 H73 N O5"	"Not the top hit"	"Full match"	"635.54692"	"14.292"	"109048.54323735"	"Single match found"	""	""	""	""	""	"67357.5871588531"	""	"109048.54323735"	"54554.0089979119"	"27578.6454475215"	""	""	""	""	""	""	"32518.0816570192"	"70006.9027280808"	"56285.1171540055"	"27330.682133822"	"22702.4986417619"	"49016.4992122702"	"48239.1858368104"	"64358.9570029953"	"38001.272443274"	"66653.7217318273"	"36466.3866151243"	"17201.4987949332"	""	""	""	""	""	""	"66068.1591976575"	""	"53963.8670994093"	"43817.9328155682"	"27292.7759086024"	"35026.5037511497"	"68047.4833543386"	"57874.7075720101"	"32260.8480746873"	""	"25917.4473176746"	"55298.990494549"	""	"23354.0565689494"	"35610.7973938907"	""	"37242.5808793573"	"84127.2579575962"
"False"	"TG(4:0_17:0_18:2)"	"C42 H79 N O6"	"Not the top hit"	"Full match"	"693.58817"	"17.506"	"107262.956689013"	"Multiple matches found"	""	""	""	""	""	""	"16710.693732655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"107262.956689013"	""	""	""	""	"26201.176753576"	""	""	""	""	""	""	""	""	""	""	""	""	"39722.7187490721"	""	""	""	""	""	"47308.0342288546"	""
"False"	"SPH(t17:0)"	"C17 H37 N O3"	"Full match"	"Full match"	"303.27632"	"1.665"	"107062.548371973"	"Single match found"	"15246.7975592673"	""	"14294.7494980684"	"17992.6648897341"	"10981.6630831695"	"53086.9671812973"	""	""	"14722.1489884284"	"20947.4224854982"	"16904.6201770516"	""	"24156.1561748327"	"17135.1724587549"	""	"17442.4849480733"	"15189.2001647981"	"15490.6326020042"	"12592.8786210854"	""	"14109.5919521356"	"35983.7077135972"	"19780.8824108158"	""	"15444.3317998586"	"23191.0812546378"	"42662.0632790326"	"107062.548371973"	"20426.2321320354"	""	""	"21953.4461654026"	"36538.3838879171"	"70592.6401335221"	"22528.6036806023"	"11265.8564618049"	""	"48117.1624582491"	""	"22250.8166361711"	"14457.5425255594"	"24824.5867943617"	"13647.1796658183"	"11394.6391876684"	"16202.2060357194"	"16877.5828109015"	"18958.4676781827"	"14653.5716829765"	"16479.0755044854"	"27718.6309236508"	"10272.546242855"	"12900.1832052984"
"False"	"PI(6:0_24:0)"	"C39 H75 O13 P"	"No match"	"Invalid mass"	"782.48974"	"6.488"	"106239.382879939"	"Single match found"	""	""	""	""	"106239.382879939"	""	""	""	""	""	""	""	""	""	"46583.4325666026"	""	""	""	"89024.8460173573"	""	""	""	""	""	""	""	""	""	""	"37117.0683264798"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(19:0_9:0_14:4)"	"C45 H81 N O6"	"No match"	"Full match"	"731.60282"	"15.221"	"104936.574818321"	"Multiple matches found"	"4737.98054164496"	"38243.4320313616"	"52178.4703448782"	""	"36726.7970224079"	"39227.9794322113"	"7133.03029984415"	""	""	"14273.8768045055"	""	""	""	"17479.4560973096"	""	""	"104936.574818321"	"16035.4993186484"	"17916.0914971818"	"31985.0147189628"	""	"24120.7164486412"	""	"30750.0980573181"	"18776.5648436067"	"9690.32553388167"	"34361.5391253392"	""	"46069.4928797759"	""	""	"28528.0159936831"	"29801.9838527681"	"74170.9624687162"	""	"26727.9477440884"	"17986.4989600472"	""	""	""	"46693.9095252239"	"57382.6454678514"	"18776.780344358"	"16127.5886749806"	"18530.7931097686"	"36726.7844306624"	""	""	"23385.2351691866"	"30963.2638198519"	""	""
"False"	"TG(17:0_18:1_18:1)"	"C56 H107 N O6"	"No match"	"Full match"	"889.80785"	"21.934"	"104637.763772345"	"Multiple matches found"	""	""	"104637.763772345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(16:0_11:3_14:3)"	"C44 H75 N O6"	"No match"	"Full match"	"713.56291"	"17.802"	"104320.821271321"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"104320.821271321"	""	""	""	""	""	""	""
"False"	"PS(21:0)"	"C27 H52 N O10 P"	"No match"	"Full match"	"581.33273"	"1.612"	"104298.771336576"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	"13371.1319359609"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"104298.771336576"	""	""	""	""	"18247.0237075627"	""	"27205.6962158261"	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(18:2_18:2_16:0)"	"C55 H101 N O6"	"No results"	"Full match"	"871.76279"	"21.544"	"103938.368733141"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19561.4932871643"	""	""	""	""	""	""	"9091.56732620641"	""	""	"5747.85835533631"	""	"13876.1219533131"	""	""	""	""	"27064.1223705248"	"49204.8304415775"	""	""	""	""	"33458.8689610596"	"17300.5506529494"	""	""	"103938.368733141"	""	""	"14201.8712823261"	""	""	""	""
"False"	"TG(18:0_18:3_19:0)"	"C58 H109 N O6"	"Not the top hit"	"Full match"	"915.82159"	"21.326"	"102911.972639998"	"Single match found"	""	""	""	""	"38106.94902935"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"102911.972639998"	""	""	""	""	""	""	""	""	""
