"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n04.raw (F1)"	"Area: cbr_n18.raw (F2)"	"Area: cbr_n26.raw (F3)"	"Area: cbr_n40.raw (F4)"	"Area: cbr_n43.raw (F5)"	"Area: cbr_o06.raw (F6)"	"Area: cbr_o07.raw (F7)"	"Area: cbr_o14.raw (F8)"	"Area: cbr_o24.raw (F9)"	"Area: cbr_o27.raw (F10)"	"Area: cbr_o28.raw (F11)"	"Area: cbr_o44.raw (F12)"	"Area: cbr_o50.raw (F13)"	"Area: cbr_o51.raw (F14)"	"Area: ct_n09.raw (F15)"	"Area: ct_n19.raw (F16)"	"Area: ct_n20.raw (F17)"	"Area: ct_n32.raw (F18)"	"Area: ct_n37.raw (F19)"	"Area: ct_n39.raw (F20)"	"Area: ct_n48.raw (F21)"	"Area: ct_o16.raw (F22)"	"Area: ct_o17.raw (F23)"	"Area: ct_o30.raw (F24)"	"Area: ct_o33.raw (F25)"	"Area: ct_o38.raw (F26)"	"Area: ct_o42.raw (F27)"	"Area: ct_o46.raw (F28)"	"Area: ct_o53.raw (F29)"	"Area: s06_02.raw (F30)"	"Area: s06_10.raw (F31)"	"Area: s06_13.raw (F32)"	"Area: s06_25.raw (F33)"	"Area: s06_31.raw (F34)"	"Area: s06_35.raw (F35)"	"Area: s06_41.raw (F36)"	"Area: s06_47.raw (F37)"	"Area: s06_54.raw (F38)"	"Area: syd_n01.raw (F39)"	"Area: syd_n03.raw (F40)"	"Area: syd_n12.raw (F41)"	"Area: syd_n23.raw (F42)"	"Area: syd_n34.raw (F43)"	"Area: syd_n36.raw (F44)"	"Area: syd_n49.raw (F45)"	"Area: syd_n52.raw (F46)"	"Area: syd_n55.raw (F47)"	"Area: syd_o05.raw (F48)"	"Area: syd_o11.raw (F49)"	"Area: syd_o15.raw (F50)"	"Area: syd_o21.raw (F51)"	"Area: syd_o22.raw (F52)"	"Area: syd_o29.raw (F53)"	"Area: syd_o45.raw (F54)"	"Area: syd_o58.raw (F55)"
"False"	"TG(16:0_16:0_18:3)"	"C53 H99 N O6"	"Not the top hit"	"Full match"	"845.74541"	"20.618"	"306992102.882313"	"Multiple matches found"	"41220354.1736469"	"159562119.029488"	"165799242.840076"	"181297536.412229"	"10135996.3178656"	"208896452.889258"	"80295885.7612157"	"238114960.477867"	"240961467.042862"	"54760211.8340056"	""	""	"153670609.991863"	"138049799.040224"	"31096982.3662337"	""	"47594871.2758183"	"104941193.106072"	"119802191.40509"	"135191825.891412"	"71736798.6447296"	"127041636.249616"	""	"178048236.834675"	"14035205.9422414"	"269912558.113092"	""	"290154958.254922"	"122505609.550042"	"129600729.6958"	""	"227043514.095449"	"158641221.546008"	"64582657.8906092"	"58519285.4633497"	"306992102.882313"	"199894528.50097"	"223364314.043217"	"100757064.318418"	"122142155.806295"	""	"72550451.8380497"	"228046356.326254"	"148867468.802981"	"177573948.321845"	"130696829.954446"	"122177071.677151"	""	"231805125.424802"	"86459989.8260945"	"139204320.307757"	"231174153.164033"	"121545727.021337"	"78745522.7100317"	""
"False"	"PC(18:1_18:1)"	"C44 H84 N O8 P"	"No match"	"Full match"	"785.59190"	"11.522"	"306456625.043653"	"Multiple matches found"	"106221927.083953"	"126975837.142695"	"98035329.403749"	"167765569.496851"	"241261132.698528"	"124767302.415018"	"46603354.9908321"	"114514678.159429"	"118985655.151404"	"140881875.669387"	"156162451.62259"	"123642586.814392"	"140759668.565093"	"131248377.781427"	"25863283.1643768"	"100253762.984133"	"171626217.115763"	"143869643.584139"	"136268135.595756"	"92107106.8113543"	"153194993.039898"	"188427624.978205"	"229723748.658695"	"82941089.4793704"	"148656608.858093"	"212690783.468642"	"306456625.043653"	"181908808.837712"	"224764929.853854"	"144042933.948249"	"183683289.48738"	"199251523.284878"	"260656767.609802"	"108262024.458466"	"60338231.7941982"	"240534376.235843"	"148351244.771941"	"116027590.578327"	"138810338.509389"	"156500952.205147"	"174858344.193146"	"167163062.487861"	"117422263.2585"	"155969931.613428"	"169014112.213386"	"160868344.626686"	"85760391.2431685"	"154438030.460504"	"169510927.652994"	"175761713.917058"	"111450747.676888"	"198689966.178854"	"132167498.608664"	"185679762.188624"	"77912920.9066351"
"False"	"TG(16:1_18:2_15:0)"	"C52 H97 N O6"	"No results"	"Invalid mass"	"831.73723"	"21.049"	"301931908.028344"	"Single match found"	""	"181293.387712351"	""	""	""	""	""	"21424.0168404847"	"156414.648696256"	""	"59604.3493777899"	""	""	""	""	""	""	""	""	"1334600.90108385"	""	""	""	"173093.345163003"	""	""	""	"301931908.028344"	"39847.9871309241"	"98766.9690801182"	""	""	""	""	""	""	""	""	""	""	""	""	"135723.691278805"	""	""	""	"130908.143740176"	""	""	"29163.1456624888"	""	""	""	""	"315297.404022339"
"False"	"PC(9:0_22:1)"	"C39 H76 N O8 P"	"Not the top hit"	"Full match"	"717.52976"	"11.897"	"299312899.274447"	"Multiple matches found"	"115227133.015543"	"93200103.5971549"	"89933773.0881237"	"168796922.410774"	"168453830.671434"	"143696591.971063"	"65491649.0169002"	"112909556.032285"	"141157862.297812"	"147169918.703224"	"153568105.014256"	"132099539.919655"	"127765987.499963"	"116151004.686618"	"21446868.3498028"	"95298371.8180958"	"137150813.838406"	"124135683.74917"	"132131345.008611"	"87760016.3265788"	"134336934.657373"	"141534815.634744"	"124749897.416156"	"98828503.6248923"	"100923459.833793"	"165472441.529438"	"299312899.274447"	"164384956.892227"	"160992194.929296"	"135101807.986455"	"137220537.395447"	"159452788.393909"	"229591716.104648"	"169063074.508458"	"55204525.4120807"	"195228011.667276"	"147299745.160432"	"141446053.680511"	"119040099.315435"	"112010019.501197"	"134010549.541356"	"155730523.479174"	"109293541.941143"	"115632673.382252"	"203085606.601247"	"152321728.013467"	"62115842.3705312"	"134028919.675146"	"195469120.331083"	"139857801.012588"	"109971661.914548"	"234365446.158339"	"138943399.811531"	"120442546.078256"	"123616059.403896"
"False"	"TG(16:0_12:0_18:1)"	"C49 H95 N O6"	"Full match"	"Full match"	"793.71429"	"20.648"	"299116279.619004"	"Multiple matches found"	"5817831.03012986"	"209353302.514654"	""	"162530683.12528"	"1873656.46900201"	"248610795.446455"	"93391292.68352"	"256018413.893556"	"180461501.211984"	"38034803.3381753"	"61745463.0018697"	"97085196.3522711"	"132672347.459194"	""	""	"83304745.1537416"	"50098239.6349293"	""	"53748065.4405213"	"195537395.78968"	""	"131677126.960533"	"134236243.309917"	"124379779.214283"	"10362838.7369696"	"116698099.827751"	"61697906.3567429"	"146315022.570991"	"126457726.662926"	"243308843.356071"	"177957005.367138"	"277045650.912011"	""	"88442068.5436666"	"40778610.3773449"	"232923763.459583"	"238594586.596158"	"252759952.798754"	""	"189235500.854096"	"108821500.788305"	""	""	"278453322.780739"	"220854086.699332"	""	"157595868.098733"	"107104382.235107"	""	""	"299116279.619004"	"159585628.543441"	""	""	"147398027.769392"
"False"	"CerP(d22:1_18:2+2O)"	"C40 H76 N O8 P"	"Full match"	"Full match"	"729.52936"	"7.657"	"291501787.950731"	"Multiple matches found"	"144356352.092714"	"100257417.000081"	"87471467.4302877"	"238305975.693026"	"155547307.127051"	"151683061.334611"	"107163287.763953"	"132234196.833004"	"180890813.440827"	"144014854.501338"	"167764544.599957"	"182357037.927268"	"144483995.928004"	"117196849.588913"	"16235111.377662"	"165590970.768508"	"86878927.2866089"	"155537254.497185"	"127435756.07131"	"120540909.340897"	"244840938.338315"	"167723273.706111"	"152970737.737277"	"157192522.068057"	"97252482.6828848"	"212340468.854663"	"224619414.845837"	"163480236.273535"	"141722753.21266"	"182162588.592157"	"138080847.490148"	"214343515.298783"	"221086312.635349"	"162829950.388214"	"46204232.8763769"	"291501787.950731"	"209624066.34871"	"186409524.305455"	"153754326.298994"	"153291021.318222"	"191529262.878564"	"191096089.947895"	"60581247.4206554"	"190162368.933011"	"190066949.335032"	"195560797.736904"	"78776382.6488977"	"162137657.512039"	"159463616.237312"	"177468218.639997"	"126799071.46234"	"186156175.809992"	"183499942.788189"	"110929590.424821"	"105922751.848687"
"False"	"PE(18:1_18:2)"	"C41 H76 N O8 P"	"Full match"	"Full match"	"741.52976"	"10.289"	"229836825.419416"	"Single match found"	"128797182.937547"	"118769548.822213"	"82477531.6241979"	"89415704.5704416"	"229836825.419416"	"128678300.970586"	"50534289.024814"	"80619527.7911425"	"118388784.626587"	"132181790.697709"	"87881189.8287692"	"120936838.458421"	"110731336.167248"	"103708536.656362"	"10915317.6307691"	"89650805.8479315"	"140679306.101443"	"116697761.701427"	"81373251.1730141"	"66681731.3281337"	"41096085.1941391"	"69967201.710565"	"103155146.311592"	"69122827.2928877"	"89047858.9068104"	"121069372.201945"	"133010949.227961"	"75353107.4525464"	"120325227.368479"	"141060204.221467"	"126164641.471068"	"111440834.809364"	"158508341.632464"	"122964545.618594"	"36797370.9997704"	"112051647.345557"	"148722538.472238"	"109068830.683446"	"88634566.6349385"	"136416168.117885"	"99288288.3889203"	"159802400.353069"	"108109985.486807"	"95218798.5041269"	"97052351.2048516"	"140089814.263341"	"61875230.3726896"	"102370146.018218"	"122589319.285096"	"103601986.72299"	"124660077.8331"	"121361707.990758"	"75710663.1536981"	"65306096.0064497"	"120157052.23157"
"False"	"TG(16:0_18:2_12:0)"	"C49 H93 N O6"	"Not the top hit"	"Full match"	"791.69870"	"20.074"	"229212639.442615"	"Multiple matches found"	"5516529.79787849"	""	""	"82030711.8282359"	"1144482.90709531"	""	""	"210202887.135381"	"169202628.877966"	"16160859.8661092"	"30691148.7072533"	"42152180.0596102"	""	"95413291.279822"	"6485875.58238475"	""	"20657399.1519959"	"48906379.9625475"	""	"80357606.2979629"	"47514200.1712244"	"64608159.4806156"	""	""	"2492927.23715766"	""	""	""	""	"160311863.801374"	"68245999.2939145"	"229212639.442615"	"72772121.8832063"	"34272839.993827"	"23863286.4636716"	""	""	""	"69291620.3758409"	""	"73350558.7307923"	"116885585.733255"	""	"145388364.311777"	""	""	""	""	""	""	"120707394.71213"	"103299816.774575"	"84206169.9056426"	"26670669.8844906"	""
"False"	"PC(9:0_24:2)"	"C41 H78 N O8 P"	"Not the top hit"	"Full match"	"743.54535"	"12.044"	"219162923.577856"	"Multiple matches found"	"101217634.16563"	"85615084.2811356"	"69816456.4603372"	"152257183.531941"	"219162923.577856"	"117289226.927495"	"54781761.5590459"	"97898742.2935961"	"106231377.063176"	"141549468.869934"	"134449067.468798"	"133568322.726459"	"130367286.480353"	"91406334.1109164"	"15374289.9735155"	"87263218.338622"	"113244178.696203"	"85854250.8559336"	"79361305.7442367"	"88461491.4047284"	"158178215.579508"	"109912269.01562"	"120768118.320199"	"77152016.1003678"	"68590104.4301241"	"136038453.375522"	"190063185.829664"	"110091525.981247"	"147730648.382255"	"140704877.830738"	"116450939.176828"	"125257435.703432"	"161931768.307116"	"131691383.392903"	"33916747.1301883"	"166802144.565926"	"146441858.673525"	"132306301.395106"	"111531111.604684"	"118551001.312023"	"134106844.944356"	"150459452.723629"	"74623724.7379609"	"124626314.161217"	"143395611.676809"	"132865453.010859"	"67887177.82334"	"123471542.167849"	"104529524.342634"	"124574246.470921"	"102894244.023307"	"136692443.773662"	"105925671.803408"	"91310041.9692206"	"100356407.90233"
"False"	"PC(18:1_18:2)"	"C44 H82 N O8 P"	"Full match"	"Full match"	"783.57629"	"9.855"	"215372463.908689"	"Multiple matches found"	"125080165.424175"	"90904945.178672"	"62823893.2738442"	"81569952.1206973"	"215372463.908689"	"108147560.531598"	"32784639.0601429"	"83064660.4662257"	"79379964.9368891"	"110221654.870764"	"76611937.9303821"	"128688848.300932"	"92506035.7654242"	"78859936.9287744"	"10415391.2222054"	"82964880.804514"	"113214493.07386"	"97168085.6448008"	"74062540.5855251"	"62916388.9059176"	"46202401.5938054"	"81293366.3902009"	"117569553.438735"	"66079156.3601685"	"98261652.6200675"	"126904120.634142"	"154079226.756008"	"85100103.1164838"	"122888059.136259"	"120648472.92633"	"114489649.788821"	"85862404.0407697"	"131486884.72734"	"121112630.94852"	"43164187.5762479"	"116076036.576736"	"119465306.769424"	"99741448.6380317"	"74642661.135959"	"103728924.710549"	"69848027.5160241"	"120116202.78133"	"70098223.305916"	"86462643.9344642"	"71105594.4997066"	"94567454.1996522"	"50916760.303151"	"92077898.8558226"	"111676939.073739"	"108707078.837864"	"89835105.7866236"	"136029255.912681"	"67876327.6282836"	"81083144.9752907"	"88864700.1614624"
