"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: mzCloud Search"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"# mzCloud Results"	"mzCloud Best Match"	"Mass List Match: CD_library_noRT"	"mzCloud Best Sim. Match"	"Area: BQC01.raw (F1)"	"Area: BQC02.raw (F2)"	"Area: BQC03.raw (F3)"	"Area: BQC04.raw (F4)"	"Area: BQC05.raw (F5)"	"Area: BQC06.raw (F6)"	"Area: BQC07.raw (F7)"	"Area: BQC08.raw (F8)"	"Area: BQC09.raw (F9)"	"Area: BQC10.raw (F10)"	"Area: BQC11.raw (F11)"	"Area: BQC12.raw (F12)"	"Area: BQC13.raw (F13)"	"Area: BQC14.raw (F14)"	"Area: BQC15.raw (F15)"	"Area: BQC16.raw (F16)"	"Area: BQC17.raw (F17)"	"Area: BQC18.raw (F18)"	"Area: BQC19.raw (F19)"	"Area: BQC20.raw (F20)"	"Area: BQC21.raw (F21)"	"Area: BQC22.raw (F22)"	"Area: BQC23.raw (F23)"	"Area: BQC24.raw (F24)"	"Area: BQC25.raw (F25)"	"Area: BQC26.raw (F26)"	"Area: BQC27.raw (F27)"	"Area: BQC28.raw (F28)"	"Area: BQC29.raw (F29)"	"Area: BQC30.raw (F30)"	"Area: BQC31.raw (F31)"	"Area: BQC32.raw (F32)"	"Area: BQC33.raw (F33)"	"Area: BQC34.raw (F34)"	"Area: BQC35.raw (F35)"	"Area: BQC36.raw (F36)"	"Area: BQC37.raw (F37)"	"Area: BQC38.raw (F38)"	"Area: BQC39.raw (F39)"	"Area: BQC40.raw (F40)"	"Area: BQC41.raw (F41)"	"Area: BQC42.raw (F42)"	"Area: BQC43.raw (F43)"	"Area: BQC44.raw (F44)"	"Area: BQC45.raw (F45)"	"Area: BQC47.raw (F46)"	"Area: TQC01.raw (F47)"	"Area: TQC03.raw (F48)"	"Area: TQC04.raw (F49)"	"Area: TQC06.raw (F50)"	"Area: TQC07.raw (F51)"	"Area: TQC08.raw (F52)"	"Area: TQC09.raw (F53)"	"Area: TQC10.raw (F54)"	"Area: TQC11.raw (F55)"	"Area: TQC12.raw (F56)"	"Area: TQC13.raw (F57)"	"Area: TQC14.raw (F58)"	"Area: TQC15.raw (F59)"	"Area: TQC16.raw (F60)"	"Area: TQC17.raw (F61)"	"Area: TQC18.raw (F62)"	"Area: TQC19.raw (F63)"	"Area: TQC20.raw (F64)"	"Area: TQC21.raw (F65)"	"Area: TQC22.raw (F66)"	"Area: TQC23.raw (F67)"	"Area: TQC24.raw (F68)"	"Area: TQC25.raw (F69)"	"Area: TQC26.raw (F70)"	"Area: TQC27.raw (F71)"	"Area: TQC28.raw (F72)"	"Area: TQC29.raw (F73)"	"Area: TQC30.raw (F74)"	"Area: TQC31.raw (F75)"	"Area: TQC32.raw (F76)"	"Area: TQC33.raw (F77)"	"Area: TQC34.raw (F78)"	"Area: TQC35.raw (F79)"	"Area: TQC36.raw (F80)"	"Area: TQC37.raw (F81)"	"Area: TQC38.raw (F82)"	"Area: TQC39.raw (F83)"	"Area: TQC40.raw (F84)"	"Area: TQC41.raw (F85)"	"Area: TQC42.raw (F86)"	"Area: TQC43.raw (F87)"	"Area: TQC45.raw (F88)"	"Area: TQC46.raw (F89)"	"Area: TQC47.raw (F90)"
"False"	"Stearic acid"	"C18 H36 O2"	"Full match"	"Full match"	"No results"	"284.27159"	"3.882"	"21199.2612143114"	"1"	"99.3"	"No matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"15097.9971176464"	"15979.4693948381"	"16726.8107246704"	"17847.4360082382"	"17817.4907119322"	"16576.2688059401"	"16162.2981116357"	"18531.4283507032"	"16230.3494450552"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18350.08392347"	"18639.5718645158"	"16330.5071795787"	"18646.4914353284"	"19160.216248729"	"20357.4190181767"	"21199.2612143114"	"15962.4924746678"	"17254.1491063031"	"18465.9696094699"
"False"	"Stearamide"	"C18 H37 N O"	"Full match"	"Full match"	"No results"	"283.28658"	"4.732"	"189008.090625335"	"1"	"99.9"	"No matches found"	""	"71340.6167502113"	"55341.5813090924"	"49282.2257912787"	"61228.6308478763"	"54630.6005219697"	"50506.2501941724"	"63037.7215024519"	"51664.0323501636"	"162385.967106697"	"131671.714857412"	"166296.64381615"	"189008.090625335"	"37413.9346349062"	"89153.5307277828"	"180790.209483541"	"184429.566662262"	""	"89307.1387271234"	"91974.1640374192"	"92681.8834208758"	"54849.8684342463"	"54445.252727919"	"56931.5581363087"	"64148.8480039285"	"34812.7781918766"	"32586.5215624456"	"32507.1271569778"	"34443.5998938045"	"33779.384184785"	"37959.2625480564"	"27924.0254824232"	"29433.805327767"	"19546.4811507721"	"20655.3266482384"	"14243.0710978574"	"14578.7963913271"	""	""	""	""	""	""	""	""	""	""	"85031.3514882553"	"41213.7286825425"	"80219.0162247072"	"102932.75914469"	"91696.3473611309"	"93281.2029561713"	"106648.283773843"	"88468.0662605875"	"100173.539709239"	"101684.561592955"	"16837.4258237151"	""	"123055.569491439"	"8142.20546620854"	""	"113739.352146694"	"120400.015287087"	"110442.161078731"	"138324.399966413"	"99628.4232658024"	""	"105124.291642664"	"29017.3327709871"	"24935.5158155115"	"29312.7393301358"	"26346.8617317391"	"14514.346810103"	"20057.8523962738"	"28153.25063711"	"23882.5272092902"	"36241.5953187388"	"28064.6952072096"	"33261.9422273317"	"34231.3880465088"	""	""	""	""	""	""	""	""	""	""
"False"	"Spinosyn A"	"C41 H65 N O10"	"No match"	"Invalid mass"	"No results"	"731.44582"	"7.964"	"231721.021092633"	"23"	"64.1"	"No matches found"	"79.8"	"154766.764786172"	"128343.193952478"	"188218.696787938"	"127633.955992997"	"180510.340700707"	"142612.347728775"	"187620.506100183"	"83854.3350070152"	"101502.817081496"	"156381.611500225"	"92435.2734338722"	"90780.8909244914"	"121715.952945138"	"173576.872986993"	"135866.220695846"	"175995.907948889"	""	"108656.693875434"	"183418.44788129"	"126434.327935782"	"207440.30099708"	"188190.562762323"	"164229.409005901"	"231721.021092633"	"209462.342907396"	"160854.986123311"	"97173.7693283678"	"160431.894552836"	"154218.190167699"	"222327.366576816"	"123461.688695564"	"168752.105486043"	"145521.097891785"	"110895.965511822"	"222647.48719853"	"198423.696049519"	"50181.7070832644"	"57354.0759493259"	"69923.4263995365"	"71449.9303858818"	"81578.9391896469"	"73216.6439770539"	"75840.130271758"	"77462.1059429687"	"66309.3757276293"	"57187.1779922252"	"185529.16847159"	"196770.65578027"	"137425.446509993"	"75747.7544155667"	"215855.902080769"	"190270.444744445"	"158795.394967332"	"186685.045777518"	"137506.55995709"	"133885.779293374"	"77107.7370553362"	""	"166194.683349183"	"61910.4243476943"	""	"145683.924447014"	"143774.971389108"	"194641.447331065"	"180701.406826845"	"229648.857990621"	""	"176774.32318226"	"171104.795343331"	"119862.029554343"	"159139.620636287"	"217865.155439984"	"182019.666637343"	"184044.080547373"	"214772.956295368"	"176853.254739353"	"174347.504958698"	"165686.09493775"	"96082.8322535973"	"224525.838163995"	"51322.4413943167"	"39698.6227810628"	"52361.7765183259"	"58332.3400562597"	"39485.1555311569"	""	"61014.581286719"	"53450.5185774901"	"88626.9568017631"	"71862.151448857"
"False"	"SPH(t17:0)"	"C17 H37 N O3"	"Full match"	"No results"	"Full match"	"303.27688"	"1.671"	"188256.480741504"	"0"	""	"Single match found"	""	"71292.7490779706"	"27728.81217745"	"91835.3098851863"	"84670.0322213784"	"85062.9849484676"	"47877.0842555081"	"57613.6869665673"	"42540.081388295"	"56892.9124129124"	"47663.6725636241"	"42632.9244982421"	"56232.096798334"	""	""	""	""	""	"34396.2012174973"	"25072.9151521643"	"16090.6333074728"	"30045.5590494561"	"16951.610990938"	"12237.5015865979"	"25801.4726461158"	"31009.7228848986"	"14953.3721831379"	"18726.1658448356"	"23592.9477177289"	"19415.336444788"	"21258.759544661"	"46648.3435244401"	"23440.1801666762"	"18791.1568706928"	"26724.7662310639"	"21777.6700139593"	"27077.5742363919"	""	"12509.2024510393"	""	""	""	"20071.720472878"	"20041.2201165807"	"29779.1189250581"	"23384.4818841958"	"11320.7653028435"	"110833.245295608"	"124271.706627779"	"109841.443027674"	"109548.544341678"	"132445.418434622"	"175398.258667089"	"114607.320369498"	"139879.730822498"	"188256.480741504"	"148476.027252107"	""	""	"36963.7661553024"	""	""	"34191.6819473566"	"36847.5327961555"	"34854.789505317"	"42210.6954479653"	"41873.8003065198"	""	"49299.1603506072"	"35255.4193234919"	"33585.0826681663"	"34187.331518109"	"35656.9398932088"	"33510.3706063386"	"33524.9319407273"	"43264.0065949121"	"45727.003793036"	"49266.2412433914"	"51610.3144698172"	"48235.8784971613"	"51960.8777099588"	"18751.2038457642"	"20391.7643553775"	"19237.4060402053"	"19205.8610302393"	"17889.9271245888"	"18403.9531273786"	"19316.457489393"	"18815.4512700845"	"20950.721335196"	"20119.008493247"
"False"	"SPH(d22:0)"	"C22 H47 N O2"	"No match"	"No results"	"Invalid mass"	"357.35854"	"2.431"	"93512.1823059785"	"0"	""	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"93512.1823059785"	""	""	""	""	""	""	""	""	""	""	""
"False"	"SPH(d22:0)"	"C22 H47 N O2"	"No match"	"No results"	"Full match"	"357.35972"	"3.609"	"143327.405313976"	"0"	""	"Single match found"	""	""	"28510.4405991082"	""	""	"25800.1101185348"	"14663.0955143249"	"8839.25127359752"	""	""	""	""	""	""	""	"32801.1212764969"	"8729.06993457528"	""	"9117.10622895124"	"16160.6297312353"	""	""	""	""	""	""	""	""	""	""	"7788.19760062055"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9637.25587776594"	"13311.0143923236"	""	""	""	"8595.18824503069"	"107614.010564313"	"9703.12618804986"	""	"8894.00586697075"	"8012.90836732702"	"8166.0726223068"	""	""	""	""	""	""	""	""	"9291.58085506241"	"11977.5013441583"	""	"12482.1591295019"	""	""	""	""	""	""	""	""	""	""	"143327.405313976"	""	""	""	""	""	""	""	"9469.4969433904"	""	""	""
"False"	"SPH(d21:2)"	"C21 H41 N O2"	"Not the top hit"	"No results"	"Full match"	"339.31218"	"3.418"	"7704.30177812518"	"0"	""	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7704.30177812518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"SPH(d21:2)"	"C21 H41 N O2"	"No match"	"No results"	"Invalid mass"	"339.31203"	"2.220"	"9291.16535643664"	"0"	""	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9291.16535643664"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"SPH(d21:2)"	"C21 H41 N O2"	"Full match"	"No results"	"Full match"	"339.31214"	"26.986"	"43238.8671459934"	"0"	""	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"43238.8671459934"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5691.88087226552"	""	"4658.67233284604"	""	"31888.9578809897"	""	""	""	""	""	""	""	""	""	""	""
"False"	"SPH(d18:0)"	"C18 H39 N O2"	"Full match"	"No results"	"Full match"	"301.29740"	"2.672"	"17401.2597178388"	"0"	""	"Single match found"	""	"12322.2996874097"	""	"11440.6684267407"	"11572.8015632443"	"14037.7175974914"	"14794.2800345192"	"13155.3430826002"	"14180.0858001005"	"16128.560690714"	"10918.2078770223"	"10717.9108699066"	"11560.5318273334"	""	""	"10837.0905929493"	"12009.5332409637"	""	"13510.1010827788"	"13064.1248500567"	"9240.5299782055"	"10941.6582109131"	"9883.16970304462"	"10596.3553540334"	""	"10058.9839983401"	"8774.60235881879"	"11441.5517552678"	"10857.1439989104"	"11367.0346218323"	"9594.07207133251"	"12741.2737348405"	"12537.1969113944"	"14572.8454116237"	"14269.0903280302"	"12408.0194516417"	"13627.5012946168"	"8328.29133756419"	"9097.84628608898"	"8269.39352977103"	"7975.90221439649"	"9215.84659330832"	""	""	"8932.16230433958"	"8376.4338438418"	""	"12184.8777650182"	""	"11493.6828594074"	"13542.7762461887"	"14846.6292228037"	"13835.676716102"	"14081.3605155563"	"12084.7548733238"	"12760.9815195782"	"16153.4595494687"	""	""	"12107.9515232337"	""	""	"10880.9984992497"	"12923.3390322633"	"13158.5508835989"	"17401.2597178388"	"14691.8161355211"	""	"16024.2745431434"	"9699.99305167695"	"9437.59717987492"	"9779.01525274492"	"10081.8924494825"	"9585.34453159399"	"9849.88597399941"	"13198.9266047506"	"15986.763823245"	"15999.5016256477"	"16392.4420679814"	"17195.553702023"	"14516.0535260329"	"9453.80956576673"	"10938.0413001859"	"9611.6604911387"	"8513.3583489273"	"8986.72746664652"	"9629.30815361552"	"9653.88806168"	"8711.45250986961"	"9666.99991972329"	"9948.36685908045"
